"","col1","col2"
"41","Закупка завершена","№15-06/4561-16 специализированный автобус для перевозки инвалидов, в том числе детей-инвалидов и других маломобильных групп населения"
"42","Закупка завершена","Приобретение новых автомобилей УАЗ 3163-105 Патриот ""Классик"""
"43","Закупка отменена","Поставка легкового автомобиля для нужд Управления Федеральной службы по ветеринарному и фитосанитарному надзору по Алтайскому краю и Республике  Алтай."
"44","Закупка завершена","864ЭА-2-15. Поставка санитарного автомобиля для нужд ГБУЗ НО «Дальнеконстантиновская центральная районная больница»"
"45","Закупка завершена","515ЭА-2-16. Поставка автомобиля для нужд ГБУЗ НО «Арзамасский противотуберкулезный Диспансер»"
"46","Закупка завершена","Автомобиль"
"47","Закупка отменена","Аукцион в электронной форме на поставку автомобиля."
"48","Закупка завершена","Поставка автомобиля служебного легкового"
"49","Закупка завершена","Поставка легкового автомобиля для нужд Администрации сельского поселения ""Писковичская волость"""
"50","Закупка завершена","поставка легкового автомобиля для нужд муниципального образования - Болоньское сельское поселение Клепиковского муниципального района Рязанской области"
"51","Закупка завершена","Поставка легкового автомобиля для нужд Коротовского сельского поселения"
"52","Закупка завершена","Транспорт общего пользования (автобусы), оборудованный для перевозки инвалидов и других маломобильных групп населения в городе Ангарске"
"53","Закупка завершена","Приобретение грузопассажирского автомобиля"
"54","Закупка завершена","Поставка автомобиля"
"55","Закупка завершена","Поставка легкового автомобиля для СПб ГБСУ СО ""Психоневрологический интернат №4""."
"56","Закупка отменена","Поставка Дорожного ремонтёра"
"57","Закупка завершена","Поставка легкового автомобиля"
"58","Закупка завершена","приобретение полноприводного автомобиля повышенной проходимости"
"59","Закупка завершена","Поставка специализированного автотранспорта УАЗ 390945 для ГБУ «Жилищник Алтуфьевского района»"
"60","Закупка завершена","Поставка автомобиля для нужд судов общей юрисдикции Карачаево-Черкесской Республики."
"61","Закупка завершена","Поставка транспортных средств"
"62","Работа комиссии","""Приобретение техники для нужд жилищно-коммунального хозяйства"". (Приобретение самосвала КАМАЗ 65115-6059-23) или ""эквивалент""."
"63","Закупка завершена","Аукцион в электронной форме на право заключения государственного контракта на поставку транспортных средств для учреждений, подведомственных Департаменту социальной защиты населения города Москвы (заказ 1)"
"64","Закупка завершена","Поставка легкового автомобиля"
"65","Закупка завершена","Поставка полноприводного автобуса    "
"66","Закупка завершена","Приобретение легкового автомобиля"
"67","Закупка завершена","закупка бортовых автомобилей с КМУ"
"68","Закупка отменена","Поставка автомобиля легкового"
"69","Закупка завершена","Поставка автомобиля в количестве 1 (одной) единицы"
"70","Закупка завершена","«Поставка автомобиля для нужд ГБУ ДО РД «ДЮСШ г.Дербента»»"
"71","Закупка завершена","«Приобретение школьного автобуса для МБОУ ДОД ДШИ г. Шахтерска»"
"72","Закупка завершена","Электронный аукцион № 127-ЭА-14/АТ на право заключить контракт на закупку автотранспортного средства для нужд Государственного бюджетного учреждения Республики Мордовия ""Автобаза Республики Мордовия"""
"73","Закупка завершена","Приобретение микроавтобуса ГАЗель Next"
"74","Закупка завершена","Аукцион в электронной форме на право заключения контракта на приобретение школьного автобуса для Муниципального общеобразовательного учреждения Рыболовская средняя общеобразовательная школа"
"75","Закупка завершена","Приобретение автомобиля"
"76","Закупка завершена","Легковые автомобили"
"77","Закупка отменена","приобретение автомобиля Ford Transit 222700 или эквивалент для нужд МКОУ «Андринская СОШ»"
"78","Закупка завершена","Приобретение 7-ми местного легкового автомобиля"
"79","Работа комиссии","Поставка автомобиля Renault Duster (или эквивалент)."
"80","Закупка завершена","поставка автомобиля"
"81","Закупка завершена","приобретение легковых автомобилей."
"82","Закупка завершена","Поставка автомобиля Форд транзит или эквивалент"
"83","Закупка завершена","Поставка автобуса специального для перевозки детей"
"84","Закупка завершена","Поставка легкового автомобиля"
"85","Закупка завершена","поставка транспортного средства для перевозки пассажиров для нужд Муниципального Совета муниципального образования Смольнинское"
"86","Закупка завершена","Поставка автомобиля скорой медицинской помощи класса «В» с комплектом оборудования для нужд ОБУЗ «Кинешемская ЦРБ»"
"87","Закупка завершена","Автомобили"
"88","Закупка завершена","Поставка автомобиля скорой медицинской помощи класса В для ГБУЗ «Еравнинская ЦРБ»"
"89","Закупка завершена","Поставка легкового автомобиля LADA 4x4 Urban или его эквивалент"
"90","Закупка завершена","Поставка автомобиля"
"91","Закупка завершена","Поставка легкового автомобиля"
"92","Закупка завершена","Поставка автомобиля (автобуса) категории ""В"""
"93","Закупка завершена","Поставка автомобиля легкового"
"94","Закупка завершена","Поставка автомобилей"
"95","Закупка завершена","Поставка  автобуса для подвоза учащихся МОУ Малиновская ООШ"
"96","Закупка завершена","Поставка автомобиля."
"97","Закупка завершена","Поставка автобуса для перевозки детей, школьная модификация, ПАЗ 32053-70 или эквивалент  для МБОУ ""Подпорожская СОШ № 8"""
"98","Работа комиссии","поставка легкового автомобиля, согласно спецификации."
"99","Закупка завершена","Поставка вакуумной машины для нужд ГБУ «Кировский психоневрологический интернат»."
"100","Закупка завершена","поставка автотранспортного средства повышенной проходимости с учетом программы по утилизации"
"101","Закупка завершена","приобретение автобуса (или эквивалент)"
"102","Закупка отменена","Поставка легкового автомобиля Chevrolet NIVA (или эквивалент) для нужд администрации Ольховатского муниципального района Воронежской области."
"103","Закупка завершена","Поставка транспортного средства для нужд ЛОГКУ ""Приозерский ДДИ"" в 2015 году."
"104","Закупка завершена","Поставка междугороднего пассажирского микроавтобуса для нужд Государственного бюджетного учреждения дополнительного образования «Областная специализированная детско-юношеская спортивная школа олимпийского резерва №1»"
"105","Закупка завершена","Поставка автомобиля LADA Vesta (или эквивалент)"
"106","Закупка завершена","Поставка автомашины УАЗ-298924 (или эквивалент) для нужд муниципального образования «Хогот»"
"107","Закупка завершена","Поставка транспортного средства пассажирского для нужд Государственного бюджетного учреждения города Москвы Комплекс социальных жилых домов Департамента труда и социальной защиты населения города Москвы."
"108","Закупка завершена","Поставка школьного транспортного средства для муниципальных нужд Старошайговского муниципального района Республики Мордовия"
"109","Закупка завершена","Поставка автомобиля"
"110","Закупка отменена","Приобретение транспортных средств (Трактор МТЗ 892)"
"111","Закупка завершена","Приобретение школьного автобуса для нужд Челюскинской СОШ"
"112","Закупка завершена","Поставка автомобилей санитарного автотранспорта для нужд учреждений здравоохранения Тверской области (15463)"
"113","Закупка завершена","приобретение легкового автомобиля"
"114","Закупка завершена","Поставка  легкового автомобиля"
"115","Закупка завершена","Приобретение бортового автомобиля для нужд МБУ ""Парк отдыха г. Видное"""
"116","Закупка завершена","«Приобретение легкового автомобиля»"
"117","Закупка завершена","Поставка легкового автомобиля"
"118","Закупка завершена","Поставка автотранспортных средств для подвоза обучающихся в общеобразовательных организациях"
"119","Закупка завершена","Поставка легкового автомобиля"
"120","Закупка завершена","Поставка автомашины"
"121","Закупка завершена","Автобусы"
"122","Закупка завершена","Поставка грузопассажирского автомобиля"
"123","Закупка отменена","Поставка легкового автомобиля для нужд Управления образования администрации Вачского муниципального района."
"124","Работа комиссии","№12-07/5580 - 14 осуществление закупки грузового автомобиля"
"125","Работа комиссии","АЭ-2892/15 на поставку автобусов"
"126","Закупка завершена","поставка легкового автомобиля Hyundai Creta (или эквивалента)"
"127","Закупка завершена","Аукцион в электронной форме на право заключить государственный контракт на покупку автомобиля"
"128","Закупка завершена","Поставка грузопассажирского автомобиля для нужд ГБУ «Автомобильные дороги ЦАО»."
"129","Закупка завершена","Приобретение автотранспортных средств"
"130","Закупка завершена","Покупка специального пассажирского транспортного средства"
"131","Закупка завершена","Приобретение автомобиля"
"132","Закупка завершена","Приобретение пассажирского автобуса"
"133","Закупка завершена","14-215э на поставку грузового автомобиля для нужд МЧС России"
"134","Закупка завершена","Приобретение ГАЗель маршрутки 12 мест ГАЗ-32212 с УМЗ-4216 (или эквивалент) для нужд МКОУ Филипповская СОШ"
"135","Закупка завершена","Поставка автомобилей 2015 года выпуска в количестве 14 штук для награждения победителей краевого трудового соревнования в агропромышленном комплексе Алтайского края в 2015 году"
"136","Закупка завершена","Легковой автомобиль"
"137","Работа комиссии","закупка автомобильной техники для обеспечения государственных нужд в 2015 году"
"138","Закупка завершена","Средства транспортные с двигателем с искровым зажиганием, с рабочим объемом цилиндров не более 1500 см3, новые"
"139","Закупка завершена","Закупка автобуса для перевозки детей"
"140","Закупка завершена","Поставка транспортного средства (легкового автомобиля) для нужд судов общей юрисдикции Республики Хакасия"
"141","Закупка завершена","Поставка автомобиля Chevrolet NIVA или ""эквивалент"""
"142","Закупка завершена","Поставка автомобиля"
"143","Закупка завершена","на право заключения контракта на поставку товара (микроавтобус, приспособленный для перевозки инвалидов в креслах-колясках)."
"144","Закупка завершена","Поставка автомобиля УАЗ – Patriot или «эквивалент»"
"145","Закупка завершена","Открытый аукцион в электронной форме на право заключения государственного контракта на поставку автомобильной техники для нужд ГБУ ""Автомобильные дороги СЗАО"""
"146","Закупка завершена","Поставка легковых автомобилей для Управления Федерального казначейства по Ростовской области"
"147","Закупка завершена","Поставка легкового автомобиля"
"148","Работа комиссии","Электронный аукцион среди субъектов малого предпринимательства, социально ориентированных некоммерческих организаций на право заключить контракт на закупку автомобиля в бюджетное учреждение Чувашской Республики «Карабай-Шемуршинский психоневрологический интернат» Министерства здравоохранения и социального развития Чувашской Республики"
"149","Закупка завершена","Поставка легкового автомобиля"
"150","Закупка завершена","Приобретение автомобиля ГАЗ - 2217 или эквивалент"
"151","Закупка завершена","поставка легкового автомобиля для нужд МБУ ""УГИО"""
"152","Закупка завершена","Поставка школьного автобуса для перевозки детей"
"153","Закупка завершена","поставка легкового автомобиля"
"154","Закупка завершена","Поставка автомобиля ГАЗ-2217 Соболь (Баргузин)"
"155","Закупка завершена","закупка автомобиля УАЗ-Патриот (или эквивалент)."
"156","Закупка завершена","Поставка с вводом в эксплуатацию, инструктажем специалистов на рабочем месте и последующим техническим обслуживанием в течение гарантийного срока автомобиля скорой медицинской помощи класса С в комплекте с медицинским оборудованием"
"157","Закупка завершена","Средства автотранспортные для перевозки людей прочие"
"158","Работа комиссии","Закупка легкового автомобиля для нужд ГКУЗ ВО Муромский дом ребенка специализированный"
"159","Закупка завершена","Поставка школьных автобусов в количестве 3 единиц для нужд общеобразовательных организаций, расположенных на территории Новосибирской области."
"160","Закупка завершена","Поставка автомобиля в соответствии с Технической частью документации об аукционе"
"161","Закупка завершена","Поставка двух легковых автомобилей для нужд ГБПОУ ЛО ""ВКТС"""
"162","Закупка завершена","Поставка автобуса класса В"
"163","Закупка завершена","Поставка автомобиля для нужд управления по информатике и связи администрации города Оренбурга"
"164","Закупка завершена","поставка нового автомобиля УАЗ Патриот (Комфорт) (или эквивалент)"
"165","Закупка завершена","на поставку легкового автомобиля"
"166","Закупка завершена","поставка в государственную собственность Республики Коми движимого имущества-автотранспорта"
"167","Закупка завершена","Поставка дизель-генераторной установки и автомобиля специального назначения с КМУ для нужд ГБУ ""Жилищник района Тропарево-Никулино"""
"168","Закупка завершена","поставка легкового автомобиля для нужд ОКУ Невельский ЦЗН"
"169","Закупка отменена","Поставка легкового автомобиля"
"170","Закупка завершена","на право заключения контракта на поставку автомобиля линейного контроля для нужд Государственного казенного учреждения Калининградской области «Управления дорожного хозяйства Калининградской области»"
"171","Закупка завершена","АЭ-3789/14 на поставку легкового автомобиля"
"172","Закупка завершена","Поставка легкового автомобиля"
"173","Закупка завершена","Поставка автомобиля легкового"
"174","Закупка завершена","Приобретение автомобиля для Администрации (реестровый номер 1773Э-21/16сб)"
"175","Закупка завершена","Поставка автомобилей"
"176","Закупка завершена","Поставка пассажирского автобуса"
"177","Закупка завершена","Поставка автобуса."
"178","Закупка завершена","Поставка автобуса для обеспечения нужд МБУК ""Городской Дворец культуры"" г.Белорецк"
"179","Закупка завершена","Закупка нового легкового автомобиля для нужд ГБОУ СПО ""Нижегородский индустриальный колледж"""
"180","Закупка завершена","Поставка автотранспортного средства «TOYOTA ALPHARD» (или эквивалент) для нужд УМВД России по Сахалинской области"
"181","Закупка завершена","Поставка легкового автомобиля"
"182","Закупка завершена","Приобретение легкового автомобиля."
"183","Закупка завершена","Приобретение легкового автомобиля по программе ""Утилизация"""
"184","Закупка завершена","поставка автобуса для нужд ФБЛПУ «Санаторий-профилакторий «Золотой берег» ФНС России»"
"185","Закупка завершена","Поставка легкового переднеприводного автомобиля среднего класса (отечественного производства) для обеспечения служебной деятельности."
"186","Работа комиссии","14-1063Э Приобретение легкового автомобиля для Управления образования Калининского района Администрации города Челябинска"
"187","Закупка завершена","Поставка легкового автомобиля для нужд ФКУ Упрдор «Алтай»."
"188","Закупка завершена","Поставка легкового автомобиля УАЗ-315195 Hunter (или эквивалент) для нужд муниципального казенного учреждения ""Управление образования Среднеколымского района"""
"189","Закупка завершена","Поставка автомобиля для нужд КГБУСО ""Комплексный центр социального обслуживания населения города Бийска"""
"190","Закупка завершена","Поставка автобуса Peugeot Boxer Tourist класса A 2227Sk ""или эквивалент"" для нужд Муниципального автономного образовательного учреждения дополнительного образования детей детско-юношеской спортивной школы «Темп» Болотнинского района Новосибирской области."
"191","Закупка завершена","Средства транспортные с двигателем с искровым зажиганием, с рабочим объемом цилиндров не более 1500 см3, новые"
"192","Закупка завершена","Поставка легкового автомобиля для нужд Администрации Нязепетровского муниципального района"
"193","Закупка завершена","Закупка грузового автомобиля"
"194","Закупка завершена","Право заключения гражданско-правового договора на поставку автомобиля."
"195","Закупка отменена","Поставка автоцистерны ""Камаз-65115"" или эквивалент"
"196","Закупка завершена","Поставка легкового автомобиля"
"197","Закупка завершена","Поставка автомобиля для нужд государственного казенного учреждения здравоохранения Тверской области специализированный дом ребенка «Теремок»"
"198","Закупка завершена","грузовой автомобиль специального назначения"
"199","Закупка завершена","Поставка автомобиля"
"200","Закупка завершена","323ЭА-2-16. Поставка легковых автомобилей"
"201","Работа комиссии","легковой автомобиль"
"202","Работа комиссии","Закупка автомобилей"
"203","",""
"204","Закупка завершена","Закупка и поставка легкового автотранспортного средства для нужд Комитета по физической культуре и спорту Администрации города Тынды"
"205","Работа комиссии","Поставка легкового автомобиля Ssang Yong Kyron или эквивалент для нужд МО «Икрянинский сельсовет»"
"206","Закупка завершена","Поставка транспортного средства общественного пользования для перевозки инвалидов в креслах-колясках, с подъемным устройством в задней торцевой двери автобуса (автобус ВСА 3033-011-97 или эквивалент) в рамках государственной программы Российской Федерации ""Доступная среда"" на 2011-2015 годы"
"207","Закупка завершена","Поставка автомобиля"
"208","Закупка завершена","Приобретение нового служебного автомобиля для нужд Администрации городского поселения город Янаул."
"209","Работа комиссии","Поставка легкового автомобиля NISSAN - ALMERA (или эквивалент) для нужд муниципального казенного учреждения «Центр административно-хозяйственного обеспечения администрации Вяземского муниципального района»"
"210","Работа комиссии","Транспортное средство - Автомобили легковые повышенной проходимости с двигателем с искровым зажиганием с рабочим объемом цилиндров более 1500 см3 прочие новые"
"211","Закупка завершена","АЭ-4413/14 на поставку автомобилей."
"212","Закупка завершена","Поставка автомобиля"
"213","Закупка отменена","на право заключения муниципального контракта на поставку товара «Автомобиль самосвал с двухсторонней разгрузкой на две боковые стороны»"
"214","Закупка завершена","Поставка школьного автобуса марки ПАЗ-32053-70 или эквивалента для нужд муниципального бюджетного образовательного учреждения Гатчинского района  "
"215","Закупка завершена","Поставка легкового автомобиля"
"216","Работа комиссии","14-4087Э На поставку легкового автомобиля"
"217","Закупка завершена","Автомобиль повышенной проходимости"
"218","Закупка завершена","Поставка автомобиля"
"219","Закупка завершена","Поставка автомобиля"
"220","Закупка завершена","поставка транспортных средств (автомобилей необходимой модификации) для обеспечения ими лиц, пострадавших вследствие несчастных случаев на производстве"
"221","Закупка завершена","поставка автомобиля"
"222","Закупка завершена","Поставка школьного автобуса"
"223","Закупка завершена","Поставка автомобиля легкового"
"224","Закупка завершена","поставка легкового автомобиля"
"225","Закупка завершена","Заключение договора финансовой аренды (лизинга) Автобуса с количеством посадочных мест не менее 51 с последующей передачей в собственность лизингополучателю."
"226","Закупка завершена","Право на заключение муниципального контракта на приобретение легкового автомобиля для нужд администрации Слободо-Туринского сельского поселения"
"227","Закупка завершена"," легковой автомобиль Volkswagen Jetta FL или эквивалент"
"228","Закупка завершена","Поставка автобусов малого класса для перевозки детей"
"229","Закупка завершена","Автомобиль LADA Granta (или эквивалент)"
"230","Закупка завершена","Поставка автомобиля для нужд администрации Пеновского района"
"231","Работа комиссии","Приобретение автомобиля Renault Duster или эквивалент"
"232","Закупка завершена","Поставка  автомобиля"
"233","Закупка завершена","Поставка автомобиля"
"234","Закупка завершена","Поставка школьного автобуса"
"235","Закупка завершена","Поставка грузового автомобиля для нужд Университета машиностроения"
"236","Закупка завершена","Поставка автобуса"
"237","Закупка завершена","Поставка с доставкой микроавтобуса для МБОУ ДОД СДЮСШОР №1"
"238","Закупка завершена","Закупка легковых автомобилей"
"239","Работа комиссии","Электронный аукцион №2818-ЭА-14/АТ на право заключить контракт на закупку автотранспортных средств для нужд Государственного бюджетного учреждения Республики Мордовия ""Автобаза Республики Мордовия"""
"240","Закупка завершена","Повышение уровня безопасности эксплуатации автотранспортных средств (приобретение новых автомобилей)"
"241","Работа комиссии","поставка автомобиля для нужд государственного бюджетного учреждения здравоохранения ""Самарская областная клиническая офтальмологическая больница имени Т.И. Ерошевского"""
"242","Работа комиссии","Закупка бортовых автомобилей для обеспечения государственных нужд в 2014 году"
"243","Закупка завершена","АЭ-5336/15 на поставку автомобилей"
"244","Работа комиссии","3831-2/2015 сб. Поставка автомобиля скорой медицинской помощи класса «А»"
"245","Закупка завершена","Поставка легкового автомобиля для нужд ГБПОУ ПО ""ВМК"""
"246","Работа комиссии","Закупка автомобиля"
"247","Закупка завершена","на право заключения муниципального контракта на поставку легкового автомобиля для нужд Администрации Пестовского муниципального района"
"248","Закупка завершена","Внедорожный автомобиль"
"249","Закупка завершена","Поставка автомобиля Lada Largus или эквивалент для нужд Отдела образования Администрации муниципального района Янаульский район Республики Башкортостан."
"250","Работа комиссии","Поставка транспортного средства"
"251","Закупка завершена","Поставка автомобиля для нужд краевого государственного бюджетного учреждения здравоохранения ""Наркологический диспансер г. Комсомольска-на-Амуре"" министерства здравоохранения Хабаровского края"
"252","Закупка завершена","Поставка автомобиля для нужд муниципального бюджетного учреждения ""Самойловский культурный центр"" Бокситогорского муниципального района Ленинградской области"
