"","Название","ИНН","name","text"
"36","Общество с ограниченной ответственностью «АТ ЮРИДИЧЕСКАЯ ФИРМА»","7701390136",1,"NA"
"37","Общество с ограниченной ответственностью «Атв Трэвел»","7743148994",1,"NA"
"38","Общество с ограниченной ответственностью «Ателье профессиональной печати»","7727585980",1,"NA"
"39","Общество с ограниченной ответственностью «Атис Групп»","9717007535",2,"7715986401"
"40","Общество с ограниченной ответственностью «Атлас Недвижимости»","7727723982",2,"7706464864"
"41","Общество с ограниченной ответственностью «АЮ Групп»","7729675011",1,"NA"
"42","Общество с ограниченной ответственностью «Аякс-Пресс»","7725113244",1,"NA"
"43","Общество с ограниченной ответственностью «Бабл»","7714938363",1,"NA"
"44","Общество с ограниченной ответственностью «Бамбинезон»","7722857982",1,"NA"
"45","Общество с ограниченной ответственностью «Баск»","9710010338",6,"7743343811, 7733881088, 7717801381, 7716824555, 7714657122"
"46","Общество с ограниченной ответственностью «БД СЕНСОРС РУС»","7718542411",1,"NA"
"47","Общество с ограниченной ответственностью «БелБиоЛаб»","7728212243",1,"NA"
"48","Общество с ограниченной ответственностью «БЕНД-ИНЖИНИРИНГ»","7705529290",1,"NA"
"49","Общество с ограниченной ответственностью «Бентус лаборатории»","7710511387",1,"NA"
"50","Общество с ограниченной ответственностью «Бест Тушино»","7733334085",1,"NA"
"51","Общество с ограниченной ответственностью «БЕТА ВОИП»","7724701236",1,"NA"
"52","Общество с ограниченной ответственностью «Бигпринтер Цифровые Инновации»","7703795272",1,"NA"
"53","Общество с ограниченной ответственностью «БизнесРесурс»","7734398130",14,"7728394593, 7719500929, 7743181102, 7602097225, 7703471630, 7709907031, 9705105190, 9705056263, 7737716430, 7708566580, 7721762174, 7707618690, 9723065920"
"54","Общество с ограниченной ответственностью «Био-Рус»","5032218376",1,"NA"
"55","Общество с ограниченной ответственностью «Биотех Индустрия»","7729647102",0,"NA"
"56","Общество с ограниченной ответственностью «Биофизическая аппаратура»","7713412779",1,"NA"
"57","Общество с ограниченной ответственностью «Бослен»","7718565592",1,"NA"
"58","Общество с ограниченной ответственностью «БРЕНД девелопмент»","7718658487",3,"9717045604, 7724317774"
"59","Общество с ограниченной ответственностью «Буки Веди»","7701932999",2,"7706796034"
"60","Общество с ограниченной ответственностью «БуксМАрт»","7734680169",1,"NA"
"61","Общество с ограниченной ответственностью «Бутик Путешествий»","7710879646",1,"NA"
"62","Общество с ограниченной ответственностью «БУТИС»","7731600870",1,"NA"
"63","Общество с ограниченной ответственностью «БФК Инжиниринг»","7707746491",1,"NA"
"64","Общество с ограниченной ответственностью «Быстрое производство»","7722317338",1,"NA"
"65","Общество с ограниченной ответственностью «Бьюти Тревел»","7701933375",1,"NA"
"66","Общество с ограниченной ответственностью «БЭНТИМА»","7733571897",1,"NA"
"67","Общество с ограниченной ответственностью «БЭСТХЕМ»","7706719417",1,"NA"
"68","Общество с ограниченной ответственностью «Вектор Плюс»","7715939497",0,"7716830566, 7714965039, 7722379038, 7703357582, 7727462642"
"69","Общество с ограниченной ответственностью «ВЕКТОР ТЯГИ»","7733249898",1,"NA"
"70","Общество с ограниченной ответственностью «Верона Медикал»","7728346487",1,"NA"
"71","Общество с ограниченной ответственностью «Вест 4 Роастерс»","9701068282",1,"NA"
"72","Общество с ограниченной ответственностью «Вест 4 Ростерс»","9701068282",0,"NA"
"73","Общество с ограниченной ответственностью «Ветлаб»","9729045856",1,"NA"
"74","Общество с ограниченной ответственностью «ВИ ЭНД ДЖИ»","7736323123",1,"NA"
"75","Общество с ограниченной ответственностью «ВИЗКОМ»","7743026315",2,"7743770348"
"76","Общество с ограниченной ответственностью «Вилма Торг»","9717041945",1,"NA"
"77","Общество с ограниченной ответственностью «ВИТ МЕДИКАЛ»","7734395066",1,"NA"
"78","Общество с ограниченной ответственностью «ВИТАПРОМ»","7716715852",5,"7743047812, 9706005399, 7716892812, 7735523987"
"79","Общество с ограниченной ответственностью «Витулус Сме»","7728370708",1,"NA"
"80","Общество с ограниченной ответственностью «Вк Динамика»","7703422457",1,"NA"
"81","Общество с ограниченной ответственностью «Вк Рсэс»","7733321992",1,"NA"
"82","Общество с ограниченной ответственностью «ВКП ЛТ»","7736032029",1,"NA"
"83","Общество с ограниченной ответственностью «Вкус и цвет»","9710060610",2,"7736273578"
"84","Общество с ограниченной ответственностью «Вкусное тесто»","7714987441",1,"NA"
"85","Общество с ограниченной ответственностью «Волга-Балт Тур»","7704463583",1,"NA"
"86","Общество с ограниченной ответственностью «Волкомолко»","7734347383",1,"NA"
"87","Общество с ограниченной ответственностью «Волна»","7729476344",20,"7751009539, 7716834803, 7730202500, 9723035139, 7716852094, 9705082552, 7731369526, 7725040959, 3702724761, 9705095400, 7703419006, 3525399969, 7719448404, 9703009589, 7734431162, 9731049576, 7724480788, 7743290422, 7726356440"
"88","Общество с ограниченной ответственностью «ВОЛЬТМОБИ ЛАБС»","9718110849",0,"NA"
"89","Общество с ограниченной ответственностью «Воплощатор»","7728865757",1,"NA"
"90","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ВОСТРЯКОВО-2»","7729385320",1,"NA"
"91","Общество с ограниченной ответственностью «ВТ-ИМПЭКС»","7721656056",1,"NA"
"92","Общество с ограниченной ответственностью «Выставочная Компания Стенд-Экспо»","7718731257",1,"NA"
"93","Общество с ограниченной ответственностью «Выставочная Компания Стенд-Экспо».","7718731257",1,"NA"
"94","Общество с ограниченной ответственностью «ВЫСТАВОЧНОЕ ПРОСТРАНСТВО»","9705129497",1,"NA"
"95","Общество с ограниченной ответственностью «Вэстстрой»","7722210401",1,"NA"
"96","Общество с ограниченной ответственностью «Гай-Комплект»","NA",0,"NA"
"97","Общество с ограниченной ответственностью «ГамаВетФарм»","7734240986",1,"NA"
"98","Общество с ограниченной ответственностью «ГАММА-КАРТ»","7731342549",1,"NA"
"99","Общество с ограниченной ответственностью «ГАММА-ПЛАСТ»","7723908887",1,"NA"
"100","Общество с ограниченной ответственностью «ГеймингСенс»","7743273917",1,"NA"
"101","Общество с ограниченной ответственностью «ГЕЛЬТЕК-МЕДИКА»","7729523682",1,"NA"
"102","Общество с ограниченной ответственностью «ГЕМ»","7729785960",2,"7714044006"
"103","Общество с ограниченной ответственностью «Гематологическая Корпорация»","7728731552",1,"NA"
"104","Общество с ограниченной ответственностью «ГеноТехнология»","7713309210",1,"NA"
"105","Общество с ограниченной ответственностью «Геосплит»"," ИНН",1,"NA"
"106","Общество с ограниченной ответственностью «ГИЛЬДИЯ ИНЖЕНЕРОВ»","7702729277",1,"NA"
"107","Общество с ограниченной ответственностью «ГЛОБУС»","7702683745",8,"7727102865, 7704797392, 7703415925, 7716897120, 9701098738, 7714873772, 7735170241"
"108","Общество с ограниченной ответственностью «ГОРОД 77»","9721049400",1,"NA"
"109","Общество с ограниченной ответственностью «Горячие крендели «Север»","7729417420",1,"NA"
"110","Общество с ограниченной ответственностью «Гравер»","7706762275",2,"7725410977"
"111","Общество с ограниченной ответственностью «Градиент М»","7718718538",1,"NA"
"112","Общество с ограниченной ответственностью «ГранФорс»","7736635010",1,"NA"
"113","Общество с ограниченной ответственностью «Графика Груп»","7728365271",1,"NA"
"114","Общество с ограниченной ответственностью «ГРАЦИЯ-15»","7719081763",1,"NA"
"115","Общество с ограниченной ответственностью «Группа Компаний Консалтика»","7718298731",1,"NA"
"116","Общество с ограниченной ответственностью «Группа Компаний Про Артс»","9704058980",2,"7726597975"
"117","Общество с ограниченной ответственностью «ГРУППА МЕТАРУС»","7719450273",1,"NA"
"118","Общество с ограниченной ответственностью «Гтлс»","7731479455",1,"NA"
"119","Общество с ограниченной ответственностью «Гуру Тур»","7724888175",1,"NA"
"120","Общество с ограниченной ответственностью «Гурус БиоФарм»"," ИНН",1,"NA"
"121","Общество с ограниченной ответственностью «Дана Инжиниринг»","7720763506",1,"NA"
"122","Общество с ограниченной ответственностью «Дар Экспо Дисплэй»","7701371172",1,"NA"
"123","Общество с ограниченной ответственностью «ДАТАДОМ»","7722398513",1,"NA"
"124","Общество с ограниченной ответственностью «ДВИН»","7726038423",4,"5074040039, 7728894660, 7720648239"
"125","Общество с ограниченной ответственностью «ДЕФЕРО»","7723785480",1,"NA"
"126","Общество с ограниченной ответственностью «ДжойМех»","7728883160",1,"NA"
"127","Общество с ограниченной ответственностью «Диагностика-М»","7720081285",1,"NA"
"128","Общество с ограниченной ответственностью «ДИЗАЙН ЦЕНТР КМ211»","7735567818",1,"NA"
"129","Общество с ограниченной ответственностью «Дим-Авто»","7716924302",1,"NA"
"130","Общество с ограниченной ответственностью «ДиректФинанс»","7725739320",1,"NA"
"131","Общество с ограниченной ответственностью «Дито»","7729769164",1,"NA"
"132","Общество с ограниченной ответственностью «Добрые Традиции»","7725365467",4,"7724308843, 9729175774, 7743294850"
"133","Общество с ограниченной ответственностью «ДОК88»","7735153415",1,"NA"
"134","Общество с ограниченной ответственностью «Донвард-Гидравлические системы»","NA",0,"NA"
"135","Общество с ограниченной ответственностью «ДОСТЕЛЛ»","7727688946",1,"NA"
"136","Общество с ограниченной ответственностью «ДПМ СЕВЕР»","7743222454",1,"NA"
"137","Общество с ограниченной ответственностью «ДРОФА-МЕДИА»","7718167143",1,"NA"
"138","Общество с ограниченной ответственностью «ДС Трейд»","9723071955",1,"NA"
"139","Общество с ограниченной ответственностью «ДСК1-РОСТОКИНО»","7716917390",1,"NA"
"140","Общество с ограниченной ответственностью «ДСС Лаб»","7716554066",1,"NA"
"141","Общество с ограниченной ответственностью «Дымовское колбасное производство»","7731178578",1,"NA"
"142","Общество с ограниченной ответственностью «Е8»","7730653904",1,"NA"
"143","Общество с ограниченной ответственностью «ЕвроТест»","7724806278",3,"7723877597, 7719433528"
"144","Общество с ограниченной ответственностью «Епг Сервис»","7719429384",1,"NA"
"145","Общество с ограниченной ответственностью «Завод оргсинтез ОКА»","7702428706",1,"NA"
"146","Общество с ограниченной ответственностью «ЗАГЕДОКТОР»","7716758180",1,"NA"
"147","Общество с ограниченной ответственностью «ЗАО ТРЕК-Э КОМПОЗИТ»","7709467623",1,"NA"
"148","Общество с ограниченной ответственностью «Зебра Логистикс Групп»","9701063083",1,"NA"
"149","Общество с ограниченной ответственностью «Зейтун»","7714387042",1,"NA"
"150","Общество с ограниченной ответственностью «Издательская группа «Астарта»","7709529686",1,"NA"
"151","Общество с ограниченной ответственностью «Издательский дом «КомпасГид»","7701812998",1,"NA"
"152","Общество с ограниченной ответственностью «Издательский Дом «Первое сентября»","7730549501",1,"NA"
"153","Общество с ограниченной ответственностью «Издательский дом «Самокат»","7743911430",1,"NA"
"154","Общество с ограниченной ответственностью «Издательский дом Лингва-Ф»","7703607659",1,"NA"
"155","Общество с ограниченной ответственностью «Издательский Дом Фантом Пресс»","9715242727",1,"NA"
"156","Общество с ограниченной ответственностью «ИЗДАТЕЛЬСТВО «АКВИЛЕГИЯ-М»","7721122544",1,"NA"
"157","Общество с ограниченной ответственностью «Издательство «ВЕЧЕ»","7715846556",1,"NA"
"158","Общество с ограниченной ответственностью «ИЗДАТЕЛЬСТВО «ИНТЕЛЛЕКТ-ЦЕНТР»","9729204880",1,"NA"
"159","Общество с ограниченной ответственностью «Издательство «Кучково Поле»","7725342043",1,"NA"
"160","Общество с ограниченной ответственностью «Издательство «Мелик-Пашаев»","7730188735",1,"NA"
"161","Общество с ограниченной ответственностью «Издательство «Редкая Птица»","7715986112",1,"NA"
"162","Общество с ограниченной ответственностью «Издательство «Фламинго»","7714099076",1,"NA"
"163","Общество с ограниченной ответственностью «ИЗДАТЕЛЬСТВО «ЭТЕРНА»","7724522117",1,"NA"
"164","Общество с ограниченной ответственностью «Издательство Аквариум»","9718025142",1,"NA"
"165","Общество с ограниченной ответственностью «Издательство Робинс»","7707736020",1,"NA"
"166","Общество с ограниченной ответственностью «Илекса»","7731166406",1,"NA"
"167","Общество с ограниченной ответственностью «ИМА-КОНСАЛТИНГ»","7706191991",1,"NA"
"168","Общество с ограниченной ответственностью «ИМИД»","7702668271",1,"NA"
"169","Общество с ограниченной ответственностью «Имидж Лаб»","7734614906",2,"7731473710"
"170","Общество с ограниченной ответственностью «Инвитротест»","7728277709",1,"NA"
"171","Общество с ограниченной ответственностью «ИНГИПРО»","9717058508",1,"NA"
"172","Общество с ограниченной ответственностью «ИНКОР»","7710496650",15," ИНН, 9701172220, 7716858459, 7734440880, 7718287835, 7733855024, 9723107062, 7719419900, 9715272513, 7730092582, 7702420873, 7724360272, 7734422055, 7724894644"
"173","Общество с ограниченной ответственностью «Инновакс»","7743196067",1,"NA"
"174","Общество с ограниченной ответственностью «Инноватор»","7701929019",3,"7722367593, 7728453672"
"175","Общество с ограниченной ответственностью «Инновационное бюро металлургических технологий»","7717609568",1,"NA"
"176","Общество с ограниченной ответственностью «Инновационное Предприятие «НЦВО - Фотоника»","NA",0,"NA"
"177","Общество с ограниченной ответственностью «Инновационное предприятие «НЦВО-ФОТОНИКА»","NA",0,"NA"
"178","Общество с ограниченной ответственностью «Инновационный Центр Био Технологий»","7735600222",1,"NA"
"179","Общество с ограниченной ответственностью «ИнСАТ»","7734682230",1,"NA"
"180","Общество с ограниченной ответственностью «Институт Системной Биологии СПб Московское отделение»","7729634600",1,"NA"
"181","Общество с ограниченной ответственностью «Инструменты новых технологий»","7734528661",1,"NA"
"182","Общество с ограниченной ответственностью «ИНТ МОДУЛЬ»","7743182956",1,"NA"
"183","Общество с ограниченной ответственностью «Интелкрафт»","7722700950",1,"NA"
"184","Общество с ограниченной ответственностью «Интердизайн»","7704427539",6,"7714369685, 7730238834, 7730679892, 7718502472, 7703529136"
"185","Общество с ограниченной ответственностью «Интернод»","7733808377",1,"NA"
"186","Общество с ограниченной ответственностью «ИнтерОпт»","7713710461",4,"9718092741, 7704704599, 7722319529"
"187","Общество с ограниченной ответственностью «Интеротель Менеджмент»","7719460320",1,"NA"
"188","Общество с ограниченной ответственностью «ИНТЕРТЕКСТИЛЬ КОРП.»","7704167680",1,"NA"
"189","Общество с ограниченной ответственностью «ИНТРОН ВТД»","7720811975",1,"NA"
"190","Общество с ограниченной ответственностью «ИНТРОН ПЛЮС»","7722008795",1,"NA"
"191","Общество с ограниченной ответственностью «Информационные системы и стратегии»","5029064310",1,"NA"
"192","Общество с ограниченной ответственностью «Инфосимс»","7720302375",1,"NA"
"193","Общество с ограниченной ответственностью «ИнЭкс»","7727558834",10,"9701174876, 7719455105, 7710559660, 7718734314, 9703001244, 7703435706, 7701975819, 7704840577, 7724383953"
"194","Общество с ограниченной ответственностью «Ирбит»","7726408096",2,"7733233249"
"195","Общество с ограниченной ответственностью «ИСКАНДЕР М»","7733754072",1,"NA"
"196","Общество с ограниченной ответственностью «ИТАЛМЕД»","7715546217",1,"NA"
"197","Общество с ограниченной ответственностью «ИТСофтваре»","7730588444",1,"NA"
"198","Общество с ограниченной ответственностью «Ифотоп»"," ИНН",1,"NA"
"199","Общество с ограниченной ответственностью «ИЭОС»","NA",0,"NA"
"200","Общество с ограниченной ответственностью «Калипсо»","7703787095",19,"7743936995, 7727779914, 7734675507, 7751009673, 9701056230, 7734413727, 7709777544, 7723723100, 5003031969, 7714359503, 7733231964, 7726557820, 7717717370, 7727724070, 7727305745, 7703743235, 7714982490, 7728180880"
"201","Общество с ограниченной ответственностью «Каменное ремесло»","7725494529",1,"NA"
"202","Общество с ограниченной ответственностью «КАНОЕ»","7725265046",1,"NA"
"203","Общество с ограниченной ответственностью «Карат»","2325019880",20,"7710573908, 7727851448, 7720817173, 7718951816, 9729307220, 7716586117, 7734689605, 7726471644, 9721124545, 7705971420, 7725391347, 7727786397, 5007050017, 7727355792, 7727352706, 7719617571, 5003069715, 7723735384, 7734406092"
"204","Общество с ограниченной ответственностью «Карекс»","7726459100",2,"7724799528"
"205","Общество с ограниченной ответственностью «Кассон»","7714349128",1,"NA"
"206","Общество с ограниченной ответственностью «Квадрат-С»","7728139748",1,"NA"
"207","Общество с ограниченной ответственностью «КванторФорм»","7731199056",1,"NA"
"208","Общество с ограниченной ответственностью «КВАРТА»","7701946751",20,"7713403284, 7727046811, 7735564334, 7727743594, 7728690507, 7743357885, 7714379757, 7724356251, 7723811500, 7736313774, 9701174516, 7743357910, 7726469155, 7735164216, 7708272540, 7730236308, 5027203455, 9704017977, 7724907269"
"209","Общество с ограниченной ответственностью «КВ-ТИТАН»","7713281773",1,"NA"
"210","Общество с ограниченной ответственностью «Кей Ди Студиос»","7714871824",1,"NA"
"211","Общество с ограниченной ответственностью «Кемдел»","7715542413",2,"7725274019"
"212","Общество с ограниченной ответственностью «Керамические технологии»","7701936288",1,"NA"
"213","Общество с ограниченной ответственностью «КЕРАМИЧЕСКИЕ
ТЕХНОЛОГИИ»","NA",0,"NA"
"214","Общество с ограниченной ответственностью «Кинезис»","7719756141",2,"7724447974"
"215","Общество с ограниченной ответственностью «КЛАССИК-Т»","7709522232",1,"NA"
"216","Общество с ограниченной ответственностью «Клевер»","7701408190",20,"7714421906, 7733325620, 7731336030, 9715294281, 5074116351, 9728023472, 7701400761, 7718276505, 9717024450, 7714970705, 9709019150, 7723380269, 9729153185, 7702707717, 7725744218, 7713277745, 7734364935, 7724494685, 7727429243"
"217","Общество с ограниченной ответственностью «Клевер-Медиа-Групп»","7717567452",1,"NA"
"218","Общество с ограниченной ответственностью «Клиника Алтея»","7715659002",1,"NA"
"219","Общество с ограниченной ответственностью «Комбинат Инновационных Технологий -
МонАрх»","NA",0,"NA"
"220","Общество с ограниченной ответственностью «КомНавРус»"," ИНН",1,"NA"
"221","Общество с ограниченной ответственностью «Компания «АТЛАС-ЛЮКС»","7714119163",1,"NA"
"222","Общество с ограниченной ответственностью «Компания «ВАССА»","7709638928",1,"NA"
"223","Общество с ограниченной ответственностью «Компания «ДиВэй»","7701647328",1,"NA"
"224","Общество с ограниченной ответственностью «Компания «РИТехникс»","7704306559",1,"NA"
"225","Общество с ограниченной ответственностью «Компания Экспосалон»","7729466716",1,"NA"
"226","Общество с ограниченной ответственностью «Конмет»","7743085254",2,"7708385706"
"227","Общество с ограниченной ответственностью «Консьюмер Холдингс»","7725384540",1,"NA"
"228","Общество с ограниченной ответственностью «Концерн Гудвин Гудвин Европа»","7709965682",1,"NA"
"229","Общество с ограниченной ответственностью «Корабль»","7716765451",4,"7727199487, 9709070710, 9723068857"
"230","Общество с ограниченной ответственностью «КОРПОРАЦИЯ «ПАРУС»","7704588141",1,"NA"
"231","Общество с ограниченной ответственностью «Косметические Решения»","7720341952",1,"NA"
"232","Общество с ограниченной ответственностью «КОТМАРКОТ»","7721767278",1,"NA"
"233","Общество с ограниченной ответственностью «Кофе Партнер»","9725001223",1,"NA"
"234","Общество с ограниченной ответственностью «Кофейня Колумбус»","7726401319",1,"NA"
"235","Общество с ограниченной ответственностью «КРАСАВУШКА»","7715757602",1,"NA"
"236","Общество с ограниченной ответственностью «КРАСНЫЙ ЛУЧ»","7743910034",1,"NA"
"237","Общество с ограниченной ответственностью «Креативное бюро номер один»","NA",0,"NA"
"238","Общество с ограниченной ответственностью «КРИОМАГ»","NA",0,"NA"
"239","Общество с ограниченной ответственностью «Криотрейд Инжинирнг»","NA",0,"NA"
"240","Общество с ограниченной ответственностью «Крокус Наноэлектроника»","7710889933",1,"NA"
"241","Общество с ограниченной ответственностью «КУЗНИЦА»","7724947399",4,"7708291864, 9715005130, 7720439820"
"242","Общество с ограниченной ответственностью «КУЛЬТУРА ГРУПП»","7703797590",1,"NA"
"243","Общество с ограниченной ответственностью «Кунцево-Электро»","7731137765",1,"NA"
"244","Общество с ограниченной ответственностью «Л КАРД»","7730618850",1,"NA"
"245","Общество с ограниченной ответственностью «Лаборатория Безопасных Систем»","7730179829",1,"NA"
"246","Общество с ограниченной ответственностью «Лаборатория вакуумных технологий плюс»","7735593920",1,"NA"
"247","Общество с ограниченной ответственностью «Лаборатория Знаний»","7729445586",3,"7703427423, 7714335816"
"248","Общество с ограниченной ответственностью «Лаборатория интеллектуальных технологий ЛИНТЕХ»"," ИНН",1,"NA"
"249","Общество с ограниченной ответственностью «Лаборатория Света «33 Идеи»","7734347601",1,"NA"
"250","Общество с ограниченной ответственностью «Лаборатория хроматографических систем»","7727719369",1,"NA"
"251","Общество с ограниченной ответственностью «Лаборатория хроматографических систем» ХромсистемсЛаб","NA",0,"NA"
"252","Общество с ограниченной ответственностью «ЛАБС»","NA",0,"NA"
"253","Общество с ограниченной ответственностью «ЛАЗЕРФОРМ»","7722748800",1,"NA"
"254","Общество с ограниченной ответственностью «Лазер-экспорт»","7728264227",1,"NA"
"255","Общество с ограниченной ответственностью «ЛазМедТек»","7722743470",1,"NA"
"256","Общество с ограниченной ответственностью «ЛАЙМА-ЛЮКС РУС»","7729392180",1,"NA"
"257","Общество с ограниченной ответственностью «Лайф Форс Групп»","6432019722",1,"NA"
"258","Общество с ограниченной ответственностью «Лантер»","7710433474",3,"7728897460, 7728804955"
"259","Общество с ограниченной ответственностью «Ласоми»","7733328821",1,"NA"
"260","Общество с ограниченной ответственностью «ЛЕД-Экспорт»","7724886040",1,"NA"
"261","Общество с ограниченной ответственностью «ЛЕД-Эффект»","7724759892",1,"NA"
"262","Общество с ограниченной ответственностью «ЛЕОВИТ нутрио»","7713204095",1,"NA"
"263","Общество с ограниченной ответственностью «Лесникова Дизайн»","7722356802",1,"NA"
"264","Общество с ограниченной ответственностью «Лимон Тур»","7735544320",1,"NA"
"265","Общество с ограниченной ответственностью «ЛИНИЯ»","7727433218",16,"9704037846, 7728491597, 7751188447, 7704873533, 7727437678, 7727692607, 7704266560, 7707407410, 7734410691, 7724430603, 7725398409, 7716924006, 7718932740, 7727387233, 7716936499"
"266","Общество с ограниченной ответственностью «ЛОГИТРАНС»","7703624171",3,"9718062377, 7716783411"
"267","Общество с ограниченной ответственностью «Любимая пицца»","7714976062",1,"NA"
"268","Общество с ограниченной ответственностью «Любовь Пирогова»","7730711120",1,"NA"
"269","Общество с ограниченной ответственностью «ЛЮКРО»","5036140787",1,"NA"
"270","Общество с ограниченной ответственностью «Люфтэра»","7725387478",1,"NA"
"271","Общество с ограниченной ответственностью «МАЙСЭВЁРСА»","7704481670",1,"NA"
"272","Общество с ограниченной ответственностью «МАКБЛАНШ»","7735074643",1,"NA"
"273","Общество с ограниченной ответственностью «Мак-Тревел»","7723706859",1,"NA"
"274","Общество с ограниченной ответственностью «Марка»","7736311181",20,"9723032762, 7732010377, 7456000747, 7714904950, 7725681462, 7722489626, 9704022590, 7743157212, 7728368610, 9705085560, 7708385537, 7706440535, 9709024400, 7716852672, 7715905219, 9721064127, 9728025832, 9701016580, 7720768014"
"275","Общество с ограниченной ответственностью «МАРС МЕДИА ЭНТЕРТЕЙНМЕНТ»","7704794881",1,"NA"
"276","Общество с ограниченной ответственностью «МАРТ ГРУПП»","7743899944",2,"7713556386"
"277","Общество с ограниченной ответственностью «Мастер»","7721288973",17,"7727354816, 7724600816, 7734689813, 7718287218, 9703029578, 7736278375, 7726427821, 7726405585, 7702709175, 7728574684, 7732118405, 7720736118, 7727683948, 7720299235, 9721121745, 7722832875"
"278","Общество с ограниченной ответственностью «МАТЕ ПРОДАКШН»","7731462490",1,"NA"
"279","Общество с ограниченной ответственностью «Мебельный Рай»","7743627531",1,"NA"
"280","Общество с ограниченной ответственностью «Медиа парк»","9723056594",1,"NA"
"281","Общество с ограниченной ответственностью «МЕДИЦИНОФФ»","7729638852",1,"NA"
"282","Общество с ограниченной ответственностью «Медицинские компьютерные системы»","7735039737",1,"NA"
"283","Общество с ограниченной ответственностью «Международная академия аудита и консалтинга»","7723921415",1,"NA"
"284","Общество с ограниченной ответственностью «Международная группа компаний «Световые технологии»","7715723321",1,"NA"
"285","Общество с ограниченной ответственностью «Мелс»","7724891474",1,"NA"
"286","Общество с ограниченной ответственностью «Менеджмент дизайн инсталляция для бизнеса»","5918212551",1,"NA"
"287","Общество с ограниченной ответственностью «МЕРИТОГРУПП»","7730004924",1,"NA"
"288","Общество с ограниченной ответственностью «Метмашэкспорт»","7708683357",1,"NA"
"289","Общество с ограниченной ответственностью «Микробор Композит»"," ИНН",1,"NA"
"290","Общество с ограниченной ответственностью «МИКС МАРКА»","9718144936",1,"NA"
"291","Общество с ограниченной ответственностью «Миндальное настроение»","7733295044",1,"NA"
"292","Общество с ограниченной ответственностью «МИП «Технопарк МАДИ»","NA",0,"NA"
"293","Общество с ограниченной ответственностью «Мир Детства»","7725307240",2,"9721114106"
"294","Общество с ограниченной ответственностью «Мир кашемира»","7724355000",1,"NA"
