,0
10,||Завод по стабилизации конденсата|ООО «Газпром переработка»| ||Первичная переработка нефти и конденсата: 14.10 млн. тонн/годПервичная переработка природного газа и ПНГ: 3 млрд. м³/годСостояние: в эксплуатации  |||||Страна:|                    Россия                    |||Город:|                    Сургут                    |||||                Координаты:|            ||Широта: 61.283350Долгота: 72.994709 ||Высота над уровнем моря:||                60.98                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||
11,||Завод по подготовке конденсата к транспорту|ООО «Газпром переработка»| ||Первичная переработка нефти и конденсата: 13.70 млн. тонн/годСостояние: в эксплуатации  |||||Страна:|                    Россия                    |||Город:|                    Новый Уренгой                    |||||                Координаты:|            ||Широта: 66.106335Долгота: 76.856232 ||Высота над уровнем моря:||                45.16                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||
12,||Завод по производству метанола|ООО «Газпром переработка»| ||Состояние: в эксплуатации  |||||Страна:|                    Россия                    |||Город:|                    Томск                    |||||                Координаты:|            ||Широта: 56.620354Долгота: 85.005169 ||Высота над уровнем моря:||                131.80                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||
13,"||Комплекс приема, хранения и отгрузки сжиженных углеводородных газов|ООО «ИНК» (Иркутская нефтяная компания)| ||Объем производства пропана: 0.16 млн. тонн/годСтабильный газовый конденсат: 0.25 млн. тонн/годСостояние: в эксплуатации  |||||Страна:|                    Россия                    |||Город:|                    Усть-Кут                    |||||                Координаты:|            ||Широта: 56.820999Долгота: 106.015148 ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
14,||Зайкинское газоперерабатывающее предприятие (ЗГПП)|ПАО «Оренбургнефть»| ||Первичная переработка природного газа и ПНГ: 2.20 млрд. м³/годСостояние: в эксплуатации Год ввода в эксплуатацию: 2001  |||||Страна:|                    Россия                    |||Город:|                    село Большая Черниговка                    ||||Вебсайт:|orenburgneft.rosneft.ru |||                Координаты:|            ||Широта: 52.160139Долгота: 51.590595 ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||
15,nan
16,"||Локосовский ГПК|ООО «ЛУКОЙЛ-Западная Сибирь»| ||Первичная переработка природного газа и ПНГ: 2.14 млрд. м³/годСостояние: в эксплуатации Год ввода в эксплуатацию: 1983  |||||Страна:|                    Россия                    |||Город:|                    Лангепас                    |||Адрес:|                    628672, Россия, Тюменская обл., Ханты-Мансийский автономный округ - Югра, г. Лангепас, ул. Ленина, 43                    ||||Телефон:|                +7 (34669) 3-63-76                |||Факс:|                +7 (34669) 2-63-78                ||||                Координаты:|            ||Широта: 61.263363Долгота: 75.093055 ||Высота над уровнем моря:||                45.34                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
17,"||Производственный комплекс Татнефтегазпереработка (Миннибаевский ГПЗ)|ПАО «Татнефть»| ||Первичная переработка природного газа и ПНГ: 3.60 млрд. м³/годСостояние: в эксплуатации Год ввода в эксплуатацию: 1956  |||||Страна:|                    Россия                    |||Город:|                    Альметьевск                    |||Адрес:|                    423460 Республика Татарстан, г. Альметьевск-10                    ||||Телефон:|                +7 (8553) 31-38-63                |||Факс:|                +7 (8553) 31-36-63+7 (8553) 31-37-80                |||Вебсайт:|tngp.tatneft.ru ||Электронная почта:|tngp@tatneft.ru ||||                Координаты:|            ||Широта: 54.833917Долгота: 52.435467 ||Высота над уровнем моря:||                128.31                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
18,"||Завод ""Мономер""; Газохимический завод|ООО «Газпром переработка»| ||Первичная переработка природного газа и ПНГ: 1 млрд. м³/годСостояние: в эксплуатации  |||||Страна:|                    Россия                    |||Город:|                    Салават                    |||||                Координаты:|            ||Широта: 53.412576Долгота: 55.861530 ||Высота над уровнем моря:||                182.55                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
19,nan
20,"||Муравленковский ГПЗ|АО «СибурТюменьГаз»| ||Первичная переработка природного газа и ПНГ: 1.30 млрд. м³/годСостояние: в эксплуатации Год ввода в эксплуатацию: 1987  |||||Страна:|                    Россия                    |||Город:|                    Муравленко                    |||Адрес:|                    629850, Ямало-Ненецкий автономный округ, Пуровский район, Суторминское месторождение, Муравленковский ГПЗ                    ||||Телефон:|                +7 (34938) 42-602                |||Факс:|                +7 (34938) 42-670                |||Вебсайт:|www.sibur.ru |||                Координаты:|            ||Широта: 63.700806Долгота: 74.761019 ||Высота над уровнем моря:||                104.49                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
21,"||Нижневартовский газоперерабатывающий комплекс (ГПЗ)|АО «СибурТюменьГаз»| ||Первичная переработка природного газа и ПНГ: 6.20 млрд. м³/годСостояние: в эксплуатации Год ввода в эксплуатацию: 1974  |||||Страна:|                    Россия                    |||Город:|                    Нижневартовск                    |||Адрес:|                    628616, Тюменская обл., Ханты-Мансийский автономный округ, г. Нижневартовск, район НВ ГПЗ                    ||||Телефон:|                +7 (3466) 29-46-15                |||Вебсайт:|www.sibur.ru |||                Координаты:|            ||Широта: 60.991905Долгота: 76.368713 ||Высота над уровнем моря:||                54.80                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
22,"||Нижневартовский газоперерабатывающий комплекс (ГПЗ)|АО «СибурТюменьГаз»| ||Первичная переработка природного газа и ПНГ: 6.20 млрд. м³/годСостояние: в эксплуатации Год ввода в эксплуатацию: 1974  |||||Страна:|                    Россия                    |||Город:|                    Нижневартовск                    |||Адрес:|                    628616, Тюменская обл., Ханты-Мансийский автономный округ, г. Нижневартовск, район НВ ГПЗ                    ||||Телефон:|                +7 (3466) 29-46-15                |||Вебсайт:|www.sibur.ru |||                Координаты:|            ||Широта: 60.991905Долгота: 76.368713 ||Высота над уровнем моря:||                54.80                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
23,"||ГПЗ Няганьгазпереработка (НГП)|ООО ""Няганьгазпереработка""| ||Первичная переработка природного газа и ПНГ: 2.60 млрд. м³/годСостояние: в эксплуатации Год ввода в эксплуатацию: 1988  |||||Страна:|                    Россия                    |||Город:|                    Нягань                    |||Адрес:|                    628616, Тюменская обл., Ханты-Мансийский автономный округ, г. Нягань, 29 км а/дороги Нягань-Талинка, стр.39.                    ||||Телефон:|                +7 (3467) 29-53-20                |||Факс:|                +7 (34672) 97-676                |||Вебсайт:|www.sibur.ru |||                Координаты:|            ||Широта: 62.000502Долгота: 65.858402 ||Высота над уровнем моря:||                149.88                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
24,||Сосногорский газоперерабатывающий завод|ООО «Газпром переработка»| ||Первичная переработка нефти и конденсата: 1.25 млн. тонн/годПервичная переработка природного газа и ПНГ: 3 млрд. м³/годСостояние: в эксплуатации  |||||Страна:|                    Россия                    |||Город:|                    Сосногорск                    |||||                Координаты:|            ||Широта: 63.575417Долгота: 53.951712 ||Высота над уровнем моря:||                77.59                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||
25,"||Сургутский газоперерабатывающий завод|ОАО ""Сургутнефтегаз""| ||Первичная переработка природного газа и ПНГ: 7.50 млрд. м³/годСостояние: в эксплуатации Год ввода в эксплуатацию: 1980  |||||Страна:|                    Россия                    |||Город:|                    Сургут                    ||||Телефон:|                +7 (3462) 42-70-09                ||||                Координаты:|            ||Широта: 61.276545Долгота: 73.045950 ||Высота над уровнем моря:||                49.12                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
26,||Оренбургский газоперерабатывающий завод|ООО «Газпром переработка»| ||Первичная переработка нефти и конденсата: 6.26 млн. тонн/годПервичная переработка природного газа и ПНГ: 37.50 млрд. м³/годСостояние: в эксплуатации  |||||Страна:|                    Россия                    |||Город:|                    Оренбург                    |||||                Координаты:|            ||Широта: 51.871086Долгота: 54.762211 ||Высота над уровнем моря:||                206.44                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||
27,||Оренбургский геливый завод|ООО «Газпром переработка»| ||Первичная переработка природного газа и ПНГ: 15 млрд. м³/годСостояние: в эксплуатации  |||||Страна:|                    Россия                    |||Город:|                    Оренбург                    ||||Телефон:|                +7 (353) 273-72-01                ||||                Координаты:|            ||Широта: 51.871510Долгота: 54.705391 ||Высота над уровнем моря:||                219.54                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||
28,"||Отрадненский газоперерабатывающий завод|АО ""ОТРАДНЕНСКИЙ ГАЗОПЕРЕРАБАТЫВАЮЩИЙ ЗАВОД""| ||Первичная переработка природного газа и ПНГ: 1.10 млрд. м³/годСостояние: в эксплуатации Год ввода в эксплуатацию: 1962  |||||Страна:|                    Россия                    |||Город:|                    Отрадный                    |||Адрес:|                    Самарская обл, г. Отрадный, 446301                    ||||Телефон:|                +7 (84661) 2-13-86|+7 (84661) 2-21-22                ||||                Координаты:|            ||Широта: 53.350739Долгота: 51.309709 ||Высота над уровнем моря:||                52.35                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
29,"||Пермский газоперерабатывающий завод|ООО ""ЛУКОЙЛ-Пермнефтеоргсинтез""| ||Первичная переработка природного газа и ПНГ: 1.46 млрд. м³/годСостояние: в эксплуатации Год ввода в эксплуатацию: 1991  |||||Страна:|                    Россия                    |||Город:|                    Пермь                    |||Адрес:|                    614055, Российская Федерация, г. Пермь, ул. Промышленная, 84                    ||||Телефон:|                +7 (342) 220-24-67                |||Факс:|                +7 (342) 220-22-88                |||Вебсайт:|pnos.lukoil.ru ||Электронная почта:|lukpnos@pnos.lukoil.com ||||                Координаты:|            ||Широта: 57.880655Долгота: 56.168584 ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
30,"||Губкинский газоперерабатывающий комплекс (ГПК)|АО «СибурТюменьГаз»| ||Первичная переработка природного газа и ПНГ: 2.60 млрд. м³/годСостояние: в эксплуатации Год ввода в эксплуатацию: 1987  |||||Страна:|                    Россия                    |||Город:|                    Губкинский                    |||Адрес:|                    29830, Ямало-Ненецкий автономный округ, г. Губкинский, промзона                    ||||Телефон:|                +7 (34936) 39-210                |||Факс:|                +7 (34936) 39-360                |||Вебсайт:|www.sibur.ru ||Электронная почта:|st@stg.sibur.ru ||||                Координаты:|            ||Широта: 64.458846Долгота: 76.422873 ||Высота над уровнем моря:||                63.78                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
31,"||Вынгапуровский ГПЗ|АО «СибурТюменьГаз»| ||Первичная переработка природного газа и ПНГ: 4.20 млрд. м³/годСостояние: в эксплуатации Год ввода в эксплуатацию: 2012  |||||Страна:|                    Россия                    |||Город:|                    Ноябрьск                    |||Адрес:|                    629850, Ямало-Ненецкий автономный округ, Пуровский район, Вынгапуровское месторождение, Вынгапуровский ГПЗ                    ||||Телефон:|                +7 (34963) 97-300                |||Факс:|                +7 (34963) 97-350                |||Вебсайт:|www.sibur.ru |||                Координаты:|            ||Широта: 62.994379Долгота: 76.866767 ||Высота над уровнем моря:||                133.58                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
32,"||Белозерный ГПК|АО «СибурТюменьГаз»| ||Первичная переработка природного газа и ПНГ: 4.60 млрд. м³/годСостояние: в эксплуатации Год ввода в эксплуатацию: 1980  |||||Страна:|                    Россия                    |||Город:|                    Нижневартовск                    |||Адрес:|                    628616, Тюменская обл., Ханты-Мансийский автономный округ, г. Нижневартовск, ул. Омская, д.1                    ||||Телефон:|                +7 (3466) 49-45-04                |||Факс:|                +7 (3466) 49-45-33                |||Вебсайт:|www.sibur.ru |||                Координаты:|            ||Широта: 61.262393Долгота: 77.049351 ||Высота над уровнем моря:||                86.51                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
33,"||Амурский газоперерабатывающий завод|ООО «Газпром переработка»| ||Первичная переработка природного газа и ПНГ: 42 млрд. м³/годКоличество технологических линий (очередей): 6 Объем производства гелия: 60 млн. м³/годОбъем производства этана: 2.50 млн. тонн/годОбъем производства пропана: 1 млн. тонн/годОбъем производства бутана: 0.50 млн. тонн/годОбъем производства пентан-гексановой фракции: 0.20 млн. тонн/годСостояние: строится  |||||Страна:|                    Россия                    |||Город:|                    Свободный                    |||Адрес:|                    Юридический адрес: 676450, Амурская область, городской округ город Свободный, город Свободный, Территория ТОСЭР Свободный|Адрес для корреспонденции: Профсоюзная ул., д. 65. корп. 1, офис 901. Москва, Российская Федерация, 117342                    ||||Телефон:|                +7 (499) 580-49-99|+7 (499) 580-49-98                |||Вебсайт:|blagoveshchensk-pererabotka.gazprom.ru ||Электронная почта:|gppb@amurgpz.ru ||||                Координаты:|            ||Широта: 51.536726Долгота: 128.180752 ||Высота над уровнем моря:||                220.75                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
34,||Астраханский газоперерабатывающий завод|ООО «Газпром переработка»| ||Первичная переработка природного газа и ПНГ: 12 млрд. м³/годСостояние: в эксплуатации  |||||Страна:|                    Россия                    |||Город:|                    Астрахань                    |||||                Координаты:|            ||Широта: 46.773143Долгота: 48.114538 ||Высота над уровнем моря:||                -16.33                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||
