Index_1,коробка_передач,марка,модель,привод,ширина,объем_двигателя_куб_см,длина,максимальная_скорость,масса_авто_снаряженная,год_выпуска,мощность_л_с,потребление_топлива_городской_цикл_л_100км,,1_коробка_передач_1,2_коробка_передач_2,1_привод_1,2_привод_2,1_ширина_1,2_ширина_2,1_объем_1,2_объем_2,1_длина_1,2_длина_2,1_скорость_1,2_скорость_2,1_масса_1,2_масса_2,1_выпуска_1,2_выпуска_2,1_мощность_1,2_мощность_2,1_топлива_1,2_топлива_2
21,автоматическая,,,,,2400,,,,,,,,**************************************************Коробка передач,**************************************************Автоматическая ,"**************************************************передние противотуманные фары, 
задние противотуманные  фонари,
омыватель передних фар, коррекция угла наклона фар,
легкосплавные диски с шинами соответствующие основному автомобилю,
полноразмерное запасное колесо на легкосплавном диске,
усилитель рулевого управления (или эквивалент) 
регулировка рулевой колонки по углу наклона и вылету,
сиденье водителя с регулировкой в  не менее 6 направлениях,
датчик дождя, 
датчик света, 
боковые зеркала заднего вида с обогревом, электрорегулировкой, электроприводом складывания и повторителями указателей поворота,
подсветка приборной панели 
передние и задние датчики парковки,
Антиблокировочная/ антипробуксовочная система,
система распределения тормозного усилия,
усилитель экстренного торможения (система помощи), 
система курсовой устойчивости /система динамической стабилизации/система активного контроля траектории,
фронтальные подушки безопасности, 
боковые подушки безопасности для первого ряда сидений,
наличие подголовников для водительского и каждого пассажирского места ,
иммобилайзер, центральный замок с ДУ и сигнализацией/охранной системой
Светодиодные дневные ходовые огни
Трансмиссия: не менее 5АКПП
Минимальный дорожный просвет (мм): не менее 160","**************************************************передние противотуманные фары, 
задние противотуманные  фонари,
омыватель передних фар, коррекция угла наклона фар,
легкосплавные диски с шинами соответствующие основному автомобилю,
полноразмерное запасное колесо на легкосплавном диске,
усилитель рулевого управления (или эквивалент) 
регулировка рулевой колонки по углу наклона и вылету,
сиденье водителя с регулировкой в  не менее 6 направлениях,
датчик дождя, 
датчик света, 
боковые зеркала заднего вида с обогревом, электрорегулировкой, электроприводом складывания и повторителями указателей поворота,
подсветка приборной панели 
передние и задние датчики парковки,
Антиблокировочная/ антипробуксовочная система,
система распределения тормозного усилия,
усилитель экстренного торможения (система помощи), 
система курсовой устойчивости /система динамической стабилизации/система активного контроля траектории,
фронтальные подушки безопасности, 
боковые подушки безопасности для первого ряда сидений,
наличие подголовников для водительского и каждого пассажирского места ,
иммобилайзер, центральный замок с ДУ и сигнализацией/охранной системой
Светодиодные дневные ходовые огни
Трансмиссия: не менее 5АКПП
Минимальный дорожный просвет (мм): не менее 160",*************************,*************************,**************************************************Объем двигателя (куб. см),**************************************************Не менее 2400,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************Год выпуска:,**************************************************Не ранее 2016,**************************************************Максимальная мощность,**************************************************Не менее 170 л.с. и не более 200 л.с.,**************************************************Расход топлива л/100км смешанный,**************************************************Не более 9
50,5МКПП,,патриот,передних задних колес,1900,2600,4785,,,2016,,,,**************************************************Коробка передач,"**************************************************Механическая, 5 ступенчатая",**************************************************Привод,"**************************************************Постоянный задний,  с  жестко подключаемым передним",**************************************************Ширина (без  учета  зеркал) в мм.,**************************************************Не менее 1900,**************************************************Объем двигателя,"**************************************************Не менее 2,6л",************************************************** Длина в мм,**************************************************Не менее 4785,*************************,*************************,"**************************************************Снаряженная масса ,кг",************************************************** Не менее 2125,**************************************************Год выпуска,**************************************************Не ранее 2016,**************************************************Максимальная мощность  л.с.(квт),"**************************************************Не менее 128(94,1) при 4600об\мин","************************************************** Расход топлива, л\100км пути (при90км\ч)","**************************************************Не более 11,5"
58,механическая,,,полный,1765,1998,4273,,,,,,,**************************************************Коробка передач,**************************************************механическая,**************************************************Тип привода,**************************************************Полный,**************************************************Ширина,**************************************************не менее 1765 мм не более 1822 мм,"**************************************************Рабочий объем, куб. м.",**************************************************не менее 1998 ,**************************************************Длина,**************************************************не менее 4273 мм не более 4342 мм ,*************************,*************************,**************************************************Полная масса,**************************************************не менее 1841 кг не более 1877 кг,*************************,*************************,**************************************************Максимальная мощность,**************************************************не менее 143 л.с. при 5750 об/мин  ,*************************,*************************
68,механическая,,,,,,,,,,,,,**************************************************Коробка передач,**************************************************Коробка передач,**************************************************Привод,**************************************************Привод,*************************,*************************,"**************************************************Рабочий объем, л ","**************************************************Рабочий объем, л ",*************************,*************************,*************************,*************************,"**************************************************Снаряженная масса, кг","**************************************************Снаряженная масса, кг",**************************************************nan,**************************************************nan*************************nan,"**************************************************Максимальная мощность, л.с. (кВт)","**************************************************Максимальная мощность, л.с. (кВт)","**************************************************Расход топлива, л/100 км пути:","**************************************************Расход топлива, л/100 км пути:"
85,механическая,,,передний,1814,1598,4658,,,,,,,*************************,*************************,**************************************************Тип привода,**************************************************передний,**************************************************Ширина (мм),**************************************************не менее 1814,**************************************************Объем (см3),**************************************************не менее 1598,**************************************************Длина (мм),**************************************************не менее 4658,**************************************************Макс. скорость (км/ч),**************************************************не менее 191,"**************************************************Технические характеристики (размеры, масса и объемы)",**************************************************,*************************,*************************,*************************,*************************,*************************,*************************
87,,,,,1905,,4820,115,,,,,,*************************,*************************,*************************,*************************,"**************************************************Ширина, м*************************Ширина, м",**************************************************Не менее 2100*************************,"**************************************************Наименование и описание объекта закупки, количество поставляемого товара, объем выполняемых работ, оказываемых услуг*************************Рабочий объем, л*************************Рабочий объем, л","**************************************************Указано в части II «ТЕХНИЧЕСКОЕ ЗАДАНИЕ» настоящей документации об аукционе*************************Не менее 2,7*************************","**************************************************Длина, м*************************Длина, м",**************************************************Не менее 4820*************************,"**************************************************Максимальная скорость, км/ч*************************Максимальная скорость, км/ч",**************************************************Не менее 115*************************,*************************,*************************,*************************,*************************,"**************************************************Мощность двигателя, л.с.*************************Мощность двигателя, л.с.",**************************************************Не менее 112*************************,*************************,*************************
118,автоматическая,,,,,,,,,,,,,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
119,механическая,vaz,vesta,передний,,1596,,,1670,,,,,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
132,механическая,,,комбинированный,1756,1598,4470,,,,,,,*************************,*************************,**************************************************Электропривод и обогрев наружных зеркал,**************************************************наличие,"**************************************************ширина, мм",**************************************************не менее 1756,"**************************************************рабочий объем двигателя, см3",**************************************************не менее 1598,"**************************************************длина , мм",**************************************************не менее 4470,*************************,*************************,**************************************************снаряженная масса (кг),"**************************************************не менее 1330, не более 1370",*************************,*************************,"**************************************************мощность, л.с./ кв./об.мин.",**************************************************не менее 102 / 75 /5750,**************************************************расход топлива комбинированный (л/100 км),**************************************************не более 9
137,механика,vaz,largus,передний,1750,,4470,,1260,,,,,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,"**************************************************Государственным заказчиком установлено требование об обеспечении исполнения Контракта в размере 10% (Десять процентов) от начальной (максимальной) цены Контракта, что составляет: 69 137,28 (Шестьдесят девять тысяч сто тридцать семь) рублей 28 копеек.
Способами обеспечения исполнения Контракта являются безотзывная банковская гарантия или перечисление заказчику денежных средств в размере 10 % (Десяти процентов) от начальной (максимальной) цены Контракта, в порядке, установленном законодательством Российской Федерации. 
Способ обеспечения исполнения Контракта из вышеперечисленных способов определяется участником закупки, с которым заключается Контракт, самостоятельно, с учетом требований п. 2.1.6.3 настоящей документации об аукционе. 
Срок действия обеспечения исполнения Контракта в виде банковской гарантии: начало – с даты заключения Контракта, окончание – по истечении месяца с даты окончания срока действия Контракта.
В банковскую гарантию включается условие о праве Заказчика на бесспорное списание денежных средств со счета гаранта, если гарантом в срок не более чем пять рабочих дней не исполнено требование Заказчика об уплате денежной суммы по банковской гарантии, направленное до окончания срока действия банковской гарантии.
Реквизиты для перечисления обеспечения Контракта в виде денежных средств:
Федеральное казенное учреждение «Налог-Сервис» Федеральной налоговой службы               (г. Москва), 125373 г. Москва, Походный проезд, д.3, корп.3.
ИНН – 4025062831, КПП – 773301001  
ОГРН – 1024000939643  
ОКПО – 55681777 
ОКТМО – 45373000
Банковские реквизиты: 
р/сч 40302810045251000079
л/сч 05731119570
Банк: Главное управление Банка России по Центральному федеральному округу г. Москва (сокращенное наименование – ГУ Банка России по ЦФО). 
БИК 044525000
Назначение платежа: «Обеспечение исполнения Государственного контракта (далее указать краткое наименование предмета Контракта и номер закупки на официальном сайте)».
Срок возврата обеспечения исполнения Контракта в виде денежных средств, внесенных на счет Заказчика: в течение 15 (Пятнадцати) дней со дня принятия Заказчиком исполнения по Контракту в полном объеме.
","**************************************************Государственным заказчиком установлено требование об обеспечении исполнения Контракта в размере 10% (Десять процентов) от начальной (максимальной) цены Контракта, что составляет: 69 137,28 (Шестьдесят девять тысяч сто тридцать семь) рублей 28 копеек.
Способами обеспечения исполнения Контракта являются безотзывная банковская гарантия или перечисление заказчику денежных средств в размере 10 % (Десяти процентов) от начальной (максимальной) цены Контракта, в порядке, установленном законодательством Российской Федерации. 
Способ обеспечения исполнения Контракта из вышеперечисленных способов определяется участником закупки, с которым заключается Контракт, самостоятельно, с учетом требований п. 2.1.6.3 настоящей документации об аукционе. 
Срок действия обеспечения исполнения Контракта в виде банковской гарантии: начало – с даты заключения Контракта, окончание – по истечении месяца с даты окончания срока действия Контракта.
В банковскую гарантию включается условие о праве Заказчика на бесспорное списание денежных средств со счета гаранта, если гарантом в срок не более чем пять рабочих дней не исполнено требование Заказчика об уплате денежной суммы по банковской гарантии, направленное до окончания срока действия банковской гарантии.
Реквизиты для перечисления обеспечения Контракта в виде денежных средств:
Федеральное казенное учреждение «Налог-Сервис» Федеральной налоговой службы               (г. Москва), 125373 г. Москва, Походный проезд, д.3, корп.3.
ИНН – 4025062831, КПП – 773301001  
ОГРН – 1024000939643  
ОКПО – 55681777 
ОКТМО – 45373000
Банковские реквизиты: 
р/сч 40302810045251000079
л/сч 05731119570
Банк: Главное управление Банка России по Центральному федеральному округу г. Москва (сокращенное наименование – ГУ Банка России по ЦФО). 
БИК 044525000
Назначение платежа: «Обеспечение исполнения Государственного контракта (далее указать краткое наименование предмета Контракта и номер закупки на официальном сайте)».
Срок возврата обеспечения исполнения Контракта в виде денежных средств, внесенных на счет Заказчика: в течение 15 (Пятнадцати) дней со дня принятия Заказчиком исполнения по Контракту в полном объеме.
",*************************,*************************,*************************,*************************,*************************,*************************,"**************************************************                 
                Автомобиль марка, модель –
                Страна производитель - 
                  Цвет-
                 Год выпуска -.
                Тип кузова- Универсал
                Число дверей 4 боковых + дверь багажника, разделенная на две       половины (2/3+1/3)
                Число мест 5
","**************************************************
1",*************************,*************************,*************************,*************************
138,,hyundai,,,,,,,,,,,,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
149,механическая,,,передний,1814,1598,4658,,,,,,,*************************,*************************,**************************************************Тип привода,**************************************************передний,**************************************************Ширина (мм),**************************************************не менее 1814,**************************************************Объем (см3),**************************************************не менее 1598,**************************************************Длина (мм),**************************************************не менее 4658,**************************************************Макс. скорость (км/ч),**************************************************не менее 191,"**************************************************Технические характеристики (размеры, масса и объемы)",**************************************************,*************************,*************************,*************************,*************************,*************************,*************************
150,5МКПП,,,,1940,2693,4363,120,,,,,,**************************************************Коробка передач,"**************************************************Механическая, 5- ступенчатая",*************************,*************************,"**************************************************Ширина, мм",**************************************************не менее 1940,"**************************************************Рабочий объем, л","**************************************************не менее 2,693","**************************************************Длина, мм",**************************************************не менее 4363,"**************************************************Максимальная скорость, км/ч",**************************************************не менее  120,"**************************************************Масса снаряженного ам, кг",**************************************************не более  2080,*************************,*************************,"**************************************************Максимальная мощность, л.с. (кВт)","**************************************************не менее 112,2 (82,5) при 4250 об/мин","**************************************************Расход топлива при 90 км/ч, л/100 км","**************************************************не более 13,5"
165,автоматическая,,,передний,,,,,,,,,,*************************,*************************,**************************************************Привод:*************************Привод:,**************************************************Привод:*************************Привод:,**************************************************Ширина (мм)*************************Ширина (мм),**************************************************Не менее 1825 мм**************************,**************************************************Объем топливного бака *************************Объем топливного бака ,**************************************************Не менее 60л.**************************,**************************************************Длина (мм)*************************Длина (мм),**************************************************Не менее 4767 мм**************************,*************************,*************************,*************************,*************************,**************************************************Год выпуска*************************Год выпуска,**************************************************Не ранее 2016 года**************************,**************************************************Мощность двигателя в л.с.*************************Мощность двигателя в л.с.,**************************************************Не менее 179 л.с.* *************************,**************************************************Марка топлива*************************Марка топлива,**************************************************Бензин с октановым числом АИ92 и выше**************************
167,автомат,,,полный,1994,,4867,,2600,,,,,**************************************************Коробка передач,**************************************************,**************************************************Тип привода  ,**************************************************,**************************************************Ширина кузова,**************************************************мм,**************************************************Объем двигателя,**************************************************л,**************************************************Длина кузова,**************************************************мм,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************Мощность двигателя,**************************************************л.с.,*************************,*************************
171,автоматическая,,,передний,1927,1500,4390,,,2016,,,,**************************************************Коробка передач ,**************************************************Автоматическая коробка передач,**************************************************Привод ,**************************************************Передний,"**************************************************Габаритные размеры, мм
Длина:
Ширина:
Высота:","**************************************************
Не менее 4390 не более 4400
Не менее 1927 не более 1950
Не менее 1467 не более 1500","**************************************************Рабочий объем, см3",**************************************************Не менее1598,"**************************************************Габаритные размеры, мм
Длина:
Ширина:
Высота:","**************************************************
Не менее 4390 не более 4400
Не менее 1927 не более 1950
Не менее 1467 не более 1500",*************************,*************************,*************************,*************************,**************************************************Год выпуска,**************************************************Не менее 2016 г.,"**************************************************Максимальная мощность,  (л.с.)",**************************************************Не более 110,"**************************************************Расход топлива, л/100 км: 
городской режим; загородный режим; смешанный режим.","**************************************************
не более 7,9
не более 4,7
 не более 5,9"
