,0,1_коробка_передач_1,2_коробка_передач_2,1_мод_1,2_мод_2,1_привод_1,2_привод_2,1_ширина_1,2_ширина_2,1_объем_1,2_объем_2,1_длина_1,2_длина_2,1_скорость_1,2_скорость_2,1_масса_1,2_масса_2,1_выпуска_1,2_выпуска_2,1_мощность_1,2_мощность_2,1_топлива_1,2_топлива_2
57,293,*************************,*************************,*************************,*************************,**************************************************Тип привода,************************************************** ,**************************************************ширина ,**************************************************мм,**************************************************Объем багажного отделения,**************************************************л,**************************************************длина,**************************************************мм,**************************************************Максимальная скорость,**************************************************км/ч,*************************,*************************,**************************************************Год выпуска,************************************************** ,**************************************************Максимальная мощность двигателя,**************************************************л.с.,"**************************************************Расход топлива, л/100км:",************************************************** 
58,298,*************************,*************************,*************************,*************************,**************************************************Привод,**************************************************,**************************************************Ширина,**************************************************,**************************************************Объем двигателя,**************************************************,**************************************************Длина,**************************************************,*************************,*************************,**************************************************Полная масса,**************************************************,**************************************************Год выпуска,**************************************************,**************************************************Максимальная мощность двигателя,**************************************************,"**************************************************Расход топлива 
в смешанном цикле",**************************************************
59,299,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
60,300,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
61,305,**************************************************Коробка передач,**************************************************Коробка передач,*************************,*************************,**************************************************Электропривод и подогрев наружных зеркал*************************Электропривод и подогрев наружных зеркал*************************Привод*************************Электропривод и подогрев наружных зеркал,**************************************************+*************************+*************************Привод*************************,"**************************************************Ширина, мм","**************************************************Ширина, мм","**************************************************Рабочий объем, куб. см","**************************************************Рабочий объем, куб. см","**************************************************Длина,мм","**************************************************Длина,мм","**************************************************Максимальная скорость, км/ч","**************************************************Максимальная скорость, км/ч","**************************************************Снаряженная масса, кг","**************************************************Снаряженная масса, кг",**************************************************Год выпуска,**************************************************Год выпуска,"**************************************************Мощность двигателя, л.с. ","**************************************************Мощность двигателя, л.с. ",**************************************************Расход топлива при скорости 90 км в час,**************************************************Расход топлива при скорости 90 км в час
62,306,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
63,308,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,**************************************************Ширина*************************Ширина,**************************************************мм*************************мм,"**************************************************nan*************************Рабочий объем, куб. см*************************nan*************************Рабочий объем, куб. см","**************************************************nan*************************Рабочий объем, куб. см*************************nan*************************nan*************************куб. см",**************************************************Длина*************************Длина,**************************************************мм*************************мм,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************Максимальная мощность*************************Максимальная мощность,**************************************************кВт (л.с.) / об. мин*************************кВт (л.с.) / об. мин,*************************,*************************
64,318,"**************************************************Грузовой, со сдвоенной кабиной и удлиненной бортовой платформой на 6 мест (тентованный)
Категория ТС: В
Колесная формула: 4*2
Количество мест: 5+1 (водитель)
Коробка передач: 5-ст., МКПП (механическая)
Бортовая платформа: удлиненная
Тип двигателя: бензиновый, четырехтактный, с искровым зажиганием 
Рабочий объем, куб.см: 2690
Мощность двигателя, л.с. (кВт): 106 (78)
Габаритные размеры
Длина (не более): 6300
Ширина по кабине (не более): 2066
Высота по кабине (не более): 2300
Полная масса (не более), кг: 3500
Емкость топливного бака (не менее), л: 60
Подвеска передняя/задняя: зависимая рессорная
Рулевое управление: с гидроусилителем руля
Тормозная система: гидравлический двухконтурный привод с разделением по осям. 
С вакуумным усилителем.
Тормозные механизмы передних колес - дисковые, задних - барабанные.
Комплектация: стандартная.  

",**************************************************2 единицы,*************************,*************************,"**************************************************Грузовой, со сдвоенной кабиной и удлиненной бортовой платформой на 6 мест (тентованный)
Категория ТС: В
Колесная формула: 4*2
Количество мест: 5+1 (водитель)
Коробка передач: 5-ст., МКПП (механическая)
Бортовая платформа: удлиненная
Тип двигателя: бензиновый, четырехтактный, с искровым зажиганием 
Рабочий объем, куб.см: 2690
Мощность двигателя, л.с. (кВт): 106 (78)
Габаритные размеры
Длина (не более): 6300
Ширина по кабине (не более): 2066
Высота по кабине (не более): 2300
Полная масса (не более), кг: 3500
Емкость топливного бака (не менее), л: 60
Подвеска передняя/задняя: зависимая рессорная
Рулевое управление: с гидроусилителем руля
Тормозная система: гидравлический двухконтурный привод с разделением по осям. 
С вакуумным усилителем.
Тормозные механизмы передних колес - дисковые, задних - барабанные.
Комплектация: стандартная.  

",**************************************************2 единицы,"**************************************************Грузовой, со сдвоенной кабиной и удлиненной бортовой платформой на 6 мест (тентованный)
Категория ТС: В
Колесная формула: 4*2
Количество мест: 5+1 (водитель)
Коробка передач: 5-ст., МКПП (механическая)
Бортовая платформа: удлиненная
Тип двигателя: бензиновый, четырехтактный, с искровым зажиганием 
Рабочий объем, куб.см: 2690
Мощность двигателя, л.с. (кВт): 106 (78)
Габаритные размеры
Длина (не более): 6300
Ширина по кабине (не более): 2066
Высота по кабине (не более): 2300
Полная масса (не более), кг: 3500
Емкость топливного бака (не менее), л: 60
Подвеска передняя/задняя: зависимая рессорная
Рулевое управление: с гидроусилителем руля
Тормозная система: гидравлический двухконтурный привод с разделением по осям. 
С вакуумным усилителем.
Тормозные механизмы передних колес - дисковые, задних - барабанные.
Комплектация: стандартная.  

",**************************************************2 единицы,"**************************************************nan*************************Грузовой, со сдвоенной кабиной и удлиненной бортовой платформой на 6 мест (тентованный)
Категория ТС: В
Колесная формула: 4*2
Количество мест: 5+1 (водитель)
Коробка передач: 5-ст., МКПП (механическая)
Бортовая платформа: удлиненная
Тип двигателя: бензиновый, четырехтактный, с искровым зажиганием 
Рабочий объем, куб.см: 2690
Мощность двигателя, л.с. (кВт): 106 (78)
Габаритные размеры
Длина (не более): 6300
Ширина по кабине (не более): 2066
Высота по кабине (не более): 2300
Полная масса (не более), кг: 3500
Емкость топливного бака (не менее), л: 60
Подвеска передняя/задняя: зависимая рессорная
Рулевое управление: с гидроусилителем руля
Тормозная система: гидравлический двухконтурный привод с разделением по осям. 
С вакуумным усилителем.
Тормозные механизмы передних колес - дисковые, задних - барабанные.
Комплектация: стандартная.  

",**************************************************nan*************************nan*************************2 единицы,"**************************************************Грузовой, со сдвоенной кабиной и удлиненной бортовой платформой на 6 мест (тентованный)
Категория ТС: В
Колесная формула: 4*2
Количество мест: 5+1 (водитель)
Коробка передач: 5-ст., МКПП (механическая)
Бортовая платформа: удлиненная
Тип двигателя: бензиновый, четырехтактный, с искровым зажиганием 
Рабочий объем, куб.см: 2690
Мощность двигателя, л.с. (кВт): 106 (78)
Габаритные размеры
Длина (не более): 6300
Ширина по кабине (не более): 2066
Высота по кабине (не более): 2300
Полная масса (не более), кг: 3500
Емкость топливного бака (не менее), л: 60
Подвеска передняя/задняя: зависимая рессорная
Рулевое управление: с гидроусилителем руля
Тормозная система: гидравлический двухконтурный привод с разделением по осям. 
С вакуумным усилителем.
Тормозные механизмы передних колес - дисковые, задних - барабанные.
Комплектация: стандартная.  

",**************************************************2 единицы,*************************,*************************,"**************************************************Грузовой, со сдвоенной кабиной и удлиненной бортовой платформой на 6 мест (тентованный)
Категория ТС: В
Колесная формула: 4*2
Количество мест: 5+1 (водитель)
Коробка передач: 5-ст., МКПП (механическая)
Бортовая платформа: удлиненная
Тип двигателя: бензиновый, четырехтактный, с искровым зажиганием 
Рабочий объем, куб.см: 2690
Мощность двигателя, л.с. (кВт): 106 (78)
Габаритные размеры
Длина (не более): 6300
Ширина по кабине (не более): 2066
Высота по кабине (не более): 2300
Полная масса (не более), кг: 3500
Емкость топливного бака (не менее), л: 60
Подвеска передняя/задняя: зависимая рессорная
Рулевое управление: с гидроусилителем руля
Тормозная система: гидравлический двухконтурный привод с разделением по осям. 
С вакуумным усилителем.
Тормозные механизмы передних колес - дисковые, задних - барабанные.
Комплектация: стандартная.  

",**************************************************2 единицы,**************************************************nan,**************************************************nan*************************nan,"**************************************************Грузовой, со сдвоенной кабиной и удлиненной бортовой платформой на 6 мест (тентованный)
Категория ТС: В
Колесная формула: 4*2
Количество мест: 5+1 (водитель)
Коробка передач: 5-ст., МКПП (механическая)
Бортовая платформа: удлиненная
Тип двигателя: бензиновый, четырехтактный, с искровым зажиганием 
Рабочий объем, куб.см: 2690
Мощность двигателя, л.с. (кВт): 106 (78)
Габаритные размеры
Длина (не более): 6300
Ширина по кабине (не более): 2066
Высота по кабине (не более): 2300
Полная масса (не более), кг: 3500
Емкость топливного бака (не менее), л: 60
Подвеска передняя/задняя: зависимая рессорная
Рулевое управление: с гидроусилителем руля
Тормозная система: гидравлический двухконтурный привод с разделением по осям. 
С вакуумным усилителем.
Тормозные механизмы передних колес - дисковые, задних - барабанные.
Комплектация: стандартная.  

",**************************************************2 единицы,*************************,*************************
65,321,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
66,324,*************************,*************************,"**************************************************Марка, модель, комплектация",**************************************************,**************************************************Привод,**************************************************,"**************************************************Габаритные размеры: 
длина
ширина 
высота",**************************************************мм,"**************************************************nan*************************Объем двигателя*************************Количество (объем) закупаемого товара (работы, услуги), (v) ","**************************************************nan*************************nan*************************куб. см*************************Начальная (максимальная) цена контракта, (НМЦК), руб.","**************************************************Габаритные размеры: 
длина
ширина 
высота",**************************************************мм,*************************,*************************,*************************,*************************,**************************************************Год выпуска,**************************************************,**************************************************Мощность,**************************************************л.с.,*************************,*************************
67,330,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,"**************************************************Размер обеспечения исполнения контракта – 23135 (двадцать три тысячи сто тридцать пять рублей), что составляет 5% от начальной (максимальной) цены контракта. В случае, если предложенная цена Исполнителя снижена на двадцать пять и более процентов по отношению к общей начальной (максимальной) цене контракта, Исполнитель, предоставляет обеспечение исполнения Контракта с учетом положений статьи 37 Закона*
1. Исполнение контракта может обеспечиваться предоставлением банковской гарантии, выданной банком и соответствующей требованиям статьи 45 Федерального закона от 05.04.2013 года №44-ФЗ «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд», или внесением денежных средств на указанный заказчиком счет, на котором в соответствии с законодательством Российской Федерации учитываются операции со средствами, поступающими заказчику. Способ обеспечения исполнения контракта определяется участником закупки, с которым заключается контракт, самостоятельно. Срок действия безотзывной банковской гарантии, выданной банком, должен превышать срок действия контракта не менее чем на один месяц.
2. Контракт заключается после предоставления участником закупки, с которым заключается контракт, обеспечения исполнения контракта в соответствии с Федеральным законом от 05.04.2013 года №44-ФЗ «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд».
3. В случае не предоставления участником закупки, с которым заключается контракт, обеспечения исполнения контракта в срок, установленный для заключения контракта, такой участник считается уклонившимся от заключения контракта.
Реквизиты для перечисления: 
УФК по Оренбургской области (ОФК 27, Администрация муниципального  образования  Рубежинский сельсовет  Первомайского района Оренбургской области, л/с 05533013140) 
ИНН 5639006365 КПП 563901001
р/с 40302810000003000084, 
Банк: Отделение Оренбург г. Оренбург,  
БИК 045354001
денежные средства, внесенные в качестве обеспечения исполнения контракта, возвращаются Поставщику при условии надлежащего исполнения им всех своих основных обязательств по контракту в течение 10 (десяти) рабочих дней с момента подписания Сторонами акта приема-передачи Товара или иного документа, подтверждающего объем выполненных обязательств.","**************************************************Размер обеспечения исполнения контракта – 23135 (двадцать три тысячи сто тридцать пять рублей), что составляет 5% от начальной (максимальной) цены контракта. В случае, если предложенная цена Исполнителя снижена на двадцать пять и более процентов по отношению к общей начальной (максимальной) цене контракта, Исполнитель, предоставляет обеспечение исполнения Контракта с учетом положений статьи 37 Закона*
1. Исполнение контракта может обеспечиваться предоставлением банковской гарантии, выданной банком и соответствующей требованиям статьи 45 Федерального закона от 05.04.2013 года №44-ФЗ «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд», или внесением денежных средств на указанный заказчиком счет, на котором в соответствии с законодательством Российской Федерации учитываются операции со средствами, поступающими заказчику. Способ обеспечения исполнения контракта определяется участником закупки, с которым заключается контракт, самостоятельно. Срок действия безотзывной банковской гарантии, выданной банком, должен превышать срок действия контракта не менее чем на один месяц.
2. Контракт заключается после предоставления участником закупки, с которым заключается контракт, обеспечения исполнения контракта в соответствии с Федеральным законом от 05.04.2013 года №44-ФЗ «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд».
3. В случае не предоставления участником закупки, с которым заключается контракт, обеспечения исполнения контракта в срок, установленный для заключения контракта, такой участник считается уклонившимся от заключения контракта.
Реквизиты для перечисления: 
УФК по Оренбургской области (ОФК 27, Администрация муниципального  образования  Рубежинский сельсовет  Первомайского района Оренбургской области, л/с 05533013140) 
ИНН 5639006365 КПП 563901001
р/с 40302810000003000084, 
Банк: Отделение Оренбург г. Оренбург,  
БИК 045354001
денежные средства, внесенные в качестве обеспечения исполнения контракта, возвращаются Поставщику при условии надлежащего исполнения им всех своих основных обязательств по контракту в течение 10 (десяти) рабочих дней с момента подписания Сторонами акта приема-передачи Товара или иного документа, подтверждающего объем выполненных обязательств.",*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
68,339,**************************************************Коробка передач*************************Коробка передач*************************Коробка передач,"**************************************************механическая, 5-ступенчатая*************************механическая, 5-ступенчатая*************************",**************************************************nan,**************************************************nan*************************nan,**************************************************nan*************************Полноприводный внедорожный легковой автомобиль.*************************Полноприводный внедорожный легковой автомобиль.*************************nan*************************Полноприводный внедорожный легковой автомобиль*************************Полноприводный внедорожный легковой автомобиль,**************************************************nan*************************Полноприводный внедорожный легковой автомобиль.*************************Полноприводный внедорожный легковой автомобиль.*************************nan*************************nan*************************шт.*************************1,"**************************************************Ширина (без учета зеркал), мм*************************Ширина (без учета зеркал), мм*************************Ширина (без учета зеркал), мм",**************************************************Не менее 1953*************************Не менее 1953*************************,"**************************************************nan*************************Рабочий объем, л*************************Рабочий объем, л*************************Рабочий объем, л","**************************************************nan*************************nan*************************Не менее 2,693*************************Не менее 2,693*************************","**************************************************Длина, мм*************************Длина, мм*************************Длина, мм",**************************************************Не менее 4700*************************Не менее 4700*************************,"**************************************************Максимальная скорость, км/ч*************************Максимальная скорость, км/ч*************************Максимальная скорость, км/ч",**************************************************Не менее 150*************************Не менее 150*************************,"**************************************************Масса без нагрузки, кг*************************Масса без нагрузки, кг*************************Масса без нагрузки, кг",**************************************************Не менее 2125*************************Не менее 2125*************************,**************************************************nan,**************************************************nan*************************nan,"**************************************************Максимальная мощность, л.с. (кВт)*************************Максимальная мощность, л.с. (кВт)*************************Максимальная мощность, л.с. (кВт)","**************************************************Не менее 134,6 (99,0) при 4600 об/мин*************************Не менее 134,6 (99,0) при 4600 об/мин*************************",*************************,*************************
69,345,**************************************************Коробка передач,**************************************************,*************************,*************************,**************************************************Привод ,**************************************************,"**************************************************Ширина без зеркал, мм",**************************************************,*************************,*************************,"**************************************************Длина, мм",**************************************************,*************************,*************************,*************************,*************************,**************************************************Год выпуска,**************************************************,"**************************************************Максимальная мощность, л/с (кВт)",**************************************************,*************************,*************************
70,346,*************************,*************************,*************************,*************************,**************************************************Привод колес,**************************************************Передний,"**************************************************Ширина, мм",**************************************************Не менее 1733,"**************************************************Рабочий объем, см3",**************************************************Не менее 1598,"**************************************************Длина, мм",**************************************************Не менее 4346,*************************,*************************,*************************,*************************,**************************************************Год выпуска,**************************************************Не ранее 2016,"**************************************************Максимальная мощность, л.с.",**************************************************Не менее 102,**************************************************Расход топлива,**************************************************
71,347,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
72,356,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,"**************************************************Количество поставляемого товара, объема выполняемых работ, оказываемых услуг:",**************************************************Требования  к количеству поставляемого товара указаны в разделе 3 «ТЕХНИЧЕСКАЯ ЧАСТЬ».,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
73,369,*************************,*************************,*************************,*************************,**************************************************переднеприводная*************************переднеприводная,**************************************************наличие*************************наличие,*************************,*************************,"**************************************************Двигатель внутреннего сгорания (рабочий объем), см 3  *************************Двигатель внутреннего сгорания (рабочий объем), см 3  ",**************************************************не более 1600*************************не более 1600,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
74,371,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
75,372,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,"**************************************************Объем работ и затрат, составляющих предмет торгов",**************************************************В соответствии с техническим заданием.,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
