,0,1,2
41,передний задний,"**************************************************Основные технические характеристики:
Тип ТС – легковой;
Тип кузова: седан;
Количество дверей/мест: 4/5; 
Цвет автомобиля: белый; 
Обивка сидений: замша/кожа, цвет черный; 
Тип привода: передний;
Двигатель: бензиновый;
Рабочим объём двигателя: не менее                     1950 см3/ не более 2000 см3 ;
Максимальная мощность двигателя: не менее 198,5 л.с./146 вКт; 
Коробка передач: 6-ступенчатая автоматическая; 
Экологический класс: не ниже пятого;
Масса ТС без нагрузки: не более 1550 кг;
Разрешенная максимальная масса: не менее 2210 кг.
Габаритные размеры автомобиля: 
Длина – не менее 4870 мм., 
Ширина с/без учета наружных зеркал заднего вида – не менее 2120/ не менее 1825 мм., 
Высота (без нагрузки) – не менее 1465 мм. и не более 1490 мм.
Диаметр разворота: не более 11,6 м.;
Объем багажного отделения: не менее 515 л.; 
Емкость топливного бака: не менее 62,5 л.; 
Максимальный расход топлива в смешанном режиме: не более 10 л на 100 км.
Механические характеристики:
Передняя подвеска – независимая со стойками «MacPherson» и стабилизатором поперечной устойчивости;
Задняя подвеска – независимая многорычажная со стабилизатором поперечной устойчивости.
Комплектность:
Боковые зеркала с окрашенными в цвет кузова корпусами и черным основанием;
Передний и задний бампер в цвет кузова; 
Боковые зеркала с электрорегулировкой, подогревом и встроенными указателями поворота;
Хромированная верхняя решетка радиатора, нижняя решетка с хромированной окантовкой;
Комплект подушек безопасности
• Фронтальные подушки безопасности
• Боковые подушки безопасности
• Передние и задние шторки безопасности
• Коленная подушка безопасности водителя;
Антиблокировочная система тормозов (ABS);
Электронная система курсовой устойчивости (ESP), включающая антипробуксовочную систему (ТС) и систему помощи при экстренном торможении (ЕВА);
Система помощи при трогании на подъеме (HSA);
Электропривод передних и задних стеклоподъемников;
Электропривод передних сидений в 10 направлениях
Память настроек сиденья водителя и боковых зеркал;
Подогрев передних и задних сидений;
Центральная консоль с подлокотником;
Электропривод стояночного тормоза;
Бортовой компьютер;
Легкосплавные колесные диски с шинами не менее 17-дюймов;
Малоразмерное запасное колесо;
Датчик дождя;
Автоматическое включение головного освещения;
Фоновая подсветка интерьера (7 цветов);
Темная тонировка задних стекол;
Передние и задние датчики парковки;
Электрообогрев рулевого колеса;
Круиз-контроль;
Климат-контроль;
Система бесключевого доступа в автомобиль и кнопка запуска двигателя;
Сигнализация с датчиками периметра и объема;
Динамические светодиодные (LED) фары ближнего/дальнего света;
Аудиосистема CD/MP3-проигрователь, AM/FM-радио, количество колонок – не менее 9;
Навигационная система
Камера заднего вида; 
USB разъем;
Цветной дисплей с диагональю не менее 8 дюймов.
Требуется установка дополнительного оборудования:
Защитная сетка в бампер;
Защита картера (металлическая);
Коврик багажника (ткань);
Сигнализация Pandora DX50 (или эквивалент).",**************************************************шт.
42,передний,*************************,*************************
43,,*************************,*************************
44,передний,"**************************************************Тип топлива: Бензиновый
Клапаны: 16 шт. 
Коробка передач: механическая
Привод: передний
Тип кузова: Седан
Двери: 4 шт. 
Центральный замок
Тройное мигание поворотников при неполном нажатии рычага
Воздушный фильтр салона 
Подогрев передних сидений
Подогрев заднего стекла
Задние противотуманные фонари
Антиблокировочная система тормозов (ABS)
Передние ремни безопасности с регулировкой по высоте
Иммобилайзер
Комфорт (Кондиционер или Климат контроль)
Гидроусилитель руля
Бортовой компьютер
Регулировка рулевой колонки по высоте
Сидение водителя с регулировкой по высоте
Передние, задние электростеклоподъемники с подсветкой кнопок
Карманы в задних дверях
Датчик наружной температуры
Шумоизоляция капота и внутренняя обшивка крышки багажника
Воздуховоды к ногам задних пассажиров
Макияжные зеркальца в солнцезащитных козырьках с крышками
Зеркала с электроприводом и обогревом
Подушка безопасности водителя
Подушка безопасности переднего пассажира
EBDЭлектронная система распределения тормозных усилий
Система предупреждения водителей сзади при экстренном торможении
Аудиоподготовка 4 динамика, антенна
Аудиосистема CD/MP3, радио
USB, AUXразъемы для подключения внешних устройств.
Управление аудиосистемой на руле
Брызговики спереди и сзади
Увеличенный до 160 мм дорожный просвет
Стальные диски с шинами 186/65 R15
Полноразмерное запасное колесо – стальной диск
Легкая тонировка стекол
Портативная пепельница и прикуриватель
Сигнал о низком уровне омывающей жидкости
Карман в спинке кресла переднего пассажира
Складывающаяся по частям спинка заднего сиденья 6:4
Два подголовника для заднего сиденья
Дополнительное оборудование:
Комплект зимней резины: 185/65R15
Защита картера
Комплект ковров резиновых в салон
Набор автомобилиста
Дефлекторы окон с установкой
*************************Тип топлива: Бензиновый
Клапаны: 16 шт. 
Коробка передач: механическая
Привод: передний
Тип кузова: Седан
Двери: 4 шт. 
Центральный замок
Тройное мигание поворотников при неполном нажатии рычага
Воздушный фильтр салона 
Подогрев передних сидений
Подогрев заднего стекла
Задние противотуманные фонари
Антиблокировочная система тормозов (ABS)
Передние ремни безопасности с регулировкой по высоте
Иммобилайзер
Комфорт (Кондиционер или Климат контроль)
Гидроусилитель руля
Бортовой компьютер
Регулировка рулевой колонки по высоте
Сидение водителя с регулировкой по высоте
Передние, задние электростеклоподъемники с подсветкой кнопок
Карманы в задних дверях
Датчик наружной температуры
Шумоизоляция капота и внутренняя обшивка крышки багажника
Воздуховоды к ногам задних пассажиров
Макияжные зеркальца в солнцезащитных козырьках с крышками
Зеркала с электроприводом и обогревом
Подушка безопасности водителя
Подушка безопасности переднего пассажира
EBDЭлектронная система распределения тормозных усилий
Система предупреждения водителей сзади при экстренном торможении
Аудиоподготовка 4 динамика, антенна
Аудиосистема CD/MP3, радио
USB, AUXразъемы для подключения внешних
Управление аудиосистемой на руле
Брызговики спереди и сзади
Увеличенный до 160 мм дорожный просвет
Стальные диски с шинами 186/65 R15
Полноразмерное запасное колесо – стальной диск
Легкая тонировка стекол
Портативная пепельница и прикуриватель
Сигнал о низком уровне омывающей жидкости
Карман в спинке кресла переднего пассажира
Складывающаяся по частям спинка заднего сиденья 6:4
Два подголовника для заднего сиденья
Дополнительное оборудование:
Комплект зимней резины: 185/65R15
Защита картера
Комплект ковров резиновых в салон
Набор автомобилиста
Дефлекторы окон с установкой
","**************************************************Рабочий объем двигателя, см3: не менее 1591
Максимальная мощность двигателя, л.с.: не менее 107 и не более 123
Коробка передач: не менее 6-ступенчатая
Емкость топливного бака, л.: не менее 43;
Цвет кузова: белый или серебристый;
Длина, мм.: не менее 4370;
Ширина, мм.: не менее 1700;
Высота, мм.: не менее 1470;
Снаряженная масса кг.: не менее 1110;
*************************Рабочий объем двигателя, см3: не менее 1591
Максимальная мощность двигателя, л.с.: не менее 107 и не более 123
Коробка передач: не менее 6-ступенчатая
Емкость топливного бака, л.: не менее 43;
Цвет кузова: белый или серебристый;
Длина, мм.: не менее 4370;
Ширина, мм.: не менее 1700;
Высота, мм.: не менее 1470;
Снаряженная масса кг.: не менее 1110;
"
45,передний,**************************************************Тип привода*************************Тип привода,**************************************************Передний*************************
46,,**************************************************nan,**************************************************nan*************************nan
47,передний,"**************************************************Привод
","**************************************************4х2
"
48,,*************************,*************************
49,,*************************,*************************
50,полный,"**************************************************Автомобиль типа – среднеразмерный кроссовер. Цвет (кузов/салон) – белый (серый) (ГОСТ Р 50574-2002) / Темный. Двигатель бензиновый с распределенным впрыском не менее 2350 см3 (бензин) (мощность не менее 170 л.с и не более 185 л.с). Трансмиссия – автомат.
Страна производства – в  соответствии с постановлением Правительства РФ от 14 июля 2014 г. № 656. Объем двигателя не менее 2350 см3 (бензин) (мощность не менее 170 л.с и не более 185 л.с)
Экологический класс не менее – 5;
Число и расположение цилиндров - 4, рядное;
Число дверей не менее – 5;
Трансмиссия – гидромеханическая (автоматическая) не менее 6 передач; 
Привод полный;
Руль – левый;
Число мест – не менее 5;
Тип рулевого управления – с электроусилителем, реечная передача;
длина, мм. – не менее 4650;
ширина, мм. – не менее 1850;
высота, мм. – не менее 1675/1685 (с рейлингами на крыше);
минимальный дорожный просвет не менее, мм – 185;
снаряженная масса не более, кг – 1950.",**************************************************шт.
51,постоянный,**************************************************nan,**************************************************nan*************************nan
52,,**************************************************- с электроприводом и обогревом наружных зеркал,**************************************************наличие
53,,*************************,*************************
54,,"**************************************************Легковой автомобиль
Тип автомобиля: легковой.
Тип кузова – внедорожник.
Цвет кузова: серебристый. Зеркала заднего вида, бамперы должны быть окрашены в цвет кузова.
Количество дверей – не менее 5.
Количество мест – не менее 5.
Габаритные размеры (мм) – длина от 4315 до 4345; ширина от 1820 до 1825; высота от 1625 до 1662; 
колесная база (мм) –  от 2670 до 2677. 
Объем багажного отделения, л: от 400 до 475. 
Дорожный просвет (мм), не менее– 210.
Подвеска передняя – независимая, типа Макферсон. 
Подвеска задняя – независимая – многорычажная или полузависимая.
Тип привода – полный. 
Тип трансмиссии – механическая. 
Количество передач – не менее 6.
Двигатель:
тип двигателя – бензиновый, рядный;
рабочий объём, л – не менее 2.;
количество клапанов – не менее 16;
количество цилиндров – не менее 4;
максимальная мощность двигателя, (л.с.): не менее 140;
максимальный крутящий момент, Н•м/об/мин: не менее 190/4000.
Ёмкость топливного бака, л – не менее 50. 
Средний расход топлива, л/100 км: в смешанном цикле не более 8.
Легкосплавные диски 16"" с шинами 215/65R16. 
Полноразмерное запасное колесо.
Боковые зеркала заднего вида с электрорегулировкой, электроприводом, обогревом.
Автомобиль должен быть оснащён: дневными ходовыми огнями, противотуманными фарами, круиз-контролем, датчиками парковки сзади.
Должны быть: антиблокировочная система тормозов с системой распределения тормозных усилий, помощь при экстренном торможении, система курсовой устойчивости.
Автомобиль должен быть оснащён аудиосистемой с поддержкой MP3, разъёмом для подключения внешнего аудиоустройства, бортовым компьютером. 
Автомобиль должен быть оснащен охранной системой: центральный замок с ДУ, иммобилайзер.
Рулевое колесо должно регулироваться по углу наклона. Сиденье водителя должно регулироваться по высоте.
Электрообогрев лобового стекла.
Автомобиль должен быть оснащён кондиционером или климат-контролем.
Должны быть боковые подушки безопасности для первого ряда сидений, подушка безопасности водителя, подушка безопасности пассажира.
Автомобиль должен быть укомплектован резиновыми ковриками.",**************************************************1
55,,"**************************************************Легковой автомобиль
Тип автомобиля: легковой.
Тип кузова – седан.
Цвет кузова: должен быть белый, или серебристый.
Количество дверей, не менее – 4.
Количество мест, не менее – 5.
Габаритные размеры (мм) – длина от 4850 до 4855; ширина от 1825 до 1860; высота от 1480 до 1485.
Объём багажного отделения, л: от 483 до 510. 
Колесная база, мм – от 2775 до 2805.
Дорожный просвет, мм – от 155 до 160.
Подвеска передняя – независимая, пружинная, типа Макферсон, со стабилизатором поперечной устойчивости. 
Подвеска задняя – независимая, пружинная, типа Макферсон, со стабилизатором поперечной устойчивости или независимая, многорычажная, пружинная, с телескопическими гидравлическими амортизаторами, со стабилизатором поперечной устойчивости. 
Тип привода – передний. 
Тип трансмиссии – автоматическая. 
Количество передач – не менее 6.
Двигатель:
тип двигателя – бензиновый, рядный; 
рабочий объём, л – не менее 2; 
количество клапанов – не менее 16;
количество цилиндров – не менее 4;
максимальная мощность двигателя, (л.с.) не менее 150; 
максимальный крутящий момент, Н•м/об/мин: не менее 199/4600.
Ёмкость топливного бака, л – не менее 70. 
Средний расход топлива, л/100 км в смешанном цикле от 7 до 7,5.
Экологический класс: Евро 5.
Легкосплавные диски 16"" с шинами 215/60R16 или 17"" с шинами 215/55R17. 
Полноразмерное запасное колесо на стандартном легкосплавном диске.
Боковые зеркала заднего вида с электрорегулировкой, электроприводом складывания, обогревом.
Автомобиль должен быть оснащён датчиком света, датчиком дождя, светодиодными дневными ходовыми огнями, передними противотуманными фарами, противотуманными фонарями, галогенными фарами.
Должны быть: антипробуксовочная система, антиблокировочная система тормозов с электронной системой распределения тормозных усилий, усилитель экстренного торможения, система курсовой устойчивости с функцией отключения системы стабилизации.
Автомобиль должен быть оснащён аудиосистемой (не менее 6 динамиков) с поддержкой CD/MP3/WMA, коммуникационной системой Bluetooth, цветным многофункциональным дисплеем на панели приборов.
Рулевое колесо – мультифункциональное. Наличие круиз-контроля.
Должна быть камера заднего вида.
Электрообогрев лобового стекла в зоне покоя стеклоочистителей.
Автомобиль должен быть оснащен двухзонным климат-контролем.
Передние сидения должны быть с подогревом. Механическая регулировка водительского и пассажирского сидения не менее чем в 4 направлениях.
Должны быть боковые подушки безопасности для первого ряда сидений.
Фронтальные подушки безопасности.
Автомобиль должен быть укомплектован резиновыми ковриками.",**************************************************1
56,,*************************,*************************
57,передний,**************************************************Тип привода,************************************************** 
58,,**************************************************Привод,**************************************************
59,передний,*************************,*************************
60,,*************************,*************************
61,,**************************************************Электропривод и подогрев наружных зеркал*************************Электропривод и подогрев наружных зеркал*************************Привод*************************Электропривод и подогрев наружных зеркал,**************************************************+*************************+*************************Привод*************************
62,передний,**************************************************nan,**************************************************nan*************************nan
63,,*************************,*************************
64,,"**************************************************Грузовой, со сдвоенной кабиной и удлиненной бортовой платформой на 6 мест (тентованный)
Категория ТС: В
Колесная формула: 4*2
Количество мест: 5+1 (водитель)
Коробка передач: 5-ст., МКПП (механическая)
Бортовая платформа: удлиненная
Тип двигателя: бензиновый, четырехтактный, с искровым зажиганием 
Рабочий объем, куб.см: 2690
Мощность двигателя, л.с. (кВт): 106 (78)
Габаритные размеры
Длина (не более): 6300
Ширина по кабине (не более): 2066
Высота по кабине (не более): 2300
Полная масса (не более), кг: 3500
Емкость топливного бака (не менее), л: 60
Подвеска передняя/задняя: зависимая рессорная
Рулевое управление: с гидроусилителем руля
Тормозная система: гидравлический двухконтурный привод с разделением по осям. 
С вакуумным усилителем.
Тормозные механизмы передних колес - дисковые, задних - барабанные.
Комплектация: стандартная.  

",**************************************************2 единицы
65,,**************************************************nan,**************************************************nan*************************nan
66,,**************************************************Привод,**************************************************
67,передних задних,*************************,*************************
68,постоянный задний жестко подключаемым передним,**************************************************nan*************************Полноприводный внедорожный легковой автомобиль.*************************Полноприводный внедорожный легковой автомобиль.*************************nan*************************Полноприводный внедорожный легковой автомобиль*************************Полноприводный внедорожный легковой автомобиль,**************************************************nan*************************Полноприводный внедорожный легковой автомобиль.*************************Полноприводный внедорожный легковой автомобиль.*************************nan*************************nan*************************шт.*************************1
69,передний,**************************************************Привод ,**************************************************
70,передний,**************************************************Привод колес,**************************************************Передний
71,передний,*************************,*************************
72,передний,**************************************************nan,**************************************************nan*************************nan
73,,**************************************************переднеприводная*************************переднеприводная,**************************************************наличие*************************наличие
74,двухзонный,*************************,*************************
75,передний,*************************,*************************
76,,*************************,*************************
77,передний,**************************************************Привод ,**************************************************Передний
78,передний,**************************************************Тип привода,**************************************************передний
79,полный,**************************************************Тип привода,**************************************************полный
80,,*************************,*************************
81,,*************************,*************************
82,,"**************************************************Грузовой, с бортовой платформой (тентованный)
Категория ТС: В
Колесная формула: 4*2
Количество мест: 2+1 (водитель)
Коробка передач: 5-ст., МКПП (механическая)
Бортовая платформа: удлиненная
Тип двигателя: бензиновый, четырехтактный, с искровым зажиганием 
Рабочий объем, куб.см (не менее): 2600
Мощность двигателя, л.с. (кВт): 106 (78)
Габаритные размеры
Длина (не более): 5600
Ширина по кабине (не более): 2066
Высота по кабине (не более): 2200
Полная масса (не более), кг: 3500
Емкость топливного бака (не менее), л: 60
Подвеска передняя/задняя: зависимая рессорная
Рулевое управление: с гидроусилителем руля
Тормозная система: гидравлический двухконтурный привод с разделением по осям. 
С вакуумным усилителем.
Тормозные механизмы передних колес - дисковые, задних - барабанные.
Комплектация: стандартная.  
",**************************************************1 единица
