,Название,Тип:,"Электрическая мощность,  Мвт",Годовая выработка электричества:,Город:,Координаты:,"Тепловая мощность, Гкал/ч",Отпуск т/э с коллекторов:,КИУМ электрической мощности:,Адрес:,Удельный расход условного топлива на э/э (УРУТ э.э.):,Удельный расход условного топлива на т/э (УРУТ т.э.):,"Электрическая мощность, Гкал/ч","Тепловой коэффициент, Гкал/МВт*ч"
399,Охинская ТЭЦ, Теплоэлектроцентраль ,99.0, 249.70 млн. кВт*ч, Оха, Широта: 53.573328 Долгота: 142.909781,216.6,,,,,,85.12465499999999,2.187878787878788
400,"ВЭС ""Каневская""", Ветряная электростанция ,99.0,, Каневская, указать местонахождение электростанции,,,,,,,85.12465499999999,
401,ВЭС-Щербиновский, Ветряная электростанция ,99.0,, Николаевка, указать местонахождение электростанции,,,,,,,85.12465499999999,
402,"ТЭЦ ООО ""ВИЗ-Сталь""", Теплоэлектроцентраль ,98.0,, Екатеринбург, Широта: 56.849817 Долгота: 60.549002,,,," 620219, Россия, Свердловская область, г. Екатеринбург, ул.Кирова, 28",,,84.26481,
403,Березниковская ТЭЦ-2, Теплоэлектроцентраль ,98.0, 499.85 млн. кВт*ч, Березники, Широта: 59.450278 Долгота: 56.820556,492.8,,,,,,84.26481,5.0285714285714285
404,ВЭС Яровое, Ветряная электростанция ,96.0,, Яровое, указать местонахождение электростанции,,,,,,,82.54512,
405,"ВЭС ""Ольга""", Ветряная электростанция ,96.0,, Владивосток, указать местонахождение электростанции,,,,,,,82.54512,
406,"ВЭС ""Пластун""", Ветряная электростанция ,96.0,, Владивосток, указать местонахождение электростанции,,,,,,,82.54512,
407,"ВЭС ""Хасан""", Ветряная электростанция ,96.0,, Владивосток, указать местонахождение электростанции,,,,,,,82.54512,
408,"ВЭС ""Крылова""", Ветряная электростанция ,96.0,, Владивосток, указать местонахождение электростанции,,,,,,,82.54512,
409,"ГТЭС ""Новопортовое месторождение""", Газотурбинная электростанция ,96.0,, Надым, Широта: 67.793679 Долгота: 72.734985,,,,,,,82.54512,
410,"ВЭС ""Врангель""", Ветряная электростанция ,96.0,, Владивосток, указать местонахождение электростанции,,,,,,,82.54512,
411,"ВЭС ""Беломорье""", Ветряная электростанция ,96.0,,, указать местонахождение электростанции,,,,,,,82.54512,
412,Иовская ГЭС, Гидроэлектростанция ,96.0, 536 млн. кВт*ч, Кандалакша, Широта: 66.669167 Долгота: 31.389444,,,," Мурманская обл., г. Кандалакша, ул. Чкалова, 42/18",,,82.54512,
413,Магаданская ТЭЦ, Теплоэлектроцентраль ,96.0, 118.30 млн. кВт*ч, Магадан, Широта: 59.583472 Долгота: 150.786944,495.0, 1 027.56 тыс. Гкал, 24.63 %,, 466.86 г/кВт•ч,,82.54512,5.15625
414,"ВЭС ""Поворотный""", Ветряная электростанция ,96.0,, Владивосток, указать местонахождение электростанции,,,,,,,82.54512,
415,"ВЭС ""Кемь""", Ветряная электростанция ,96.0,,, указать местонахождение электростанции,,,,,,,82.54512,
416,ВЭС Кулунда, Ветряная электростанция ,96.0,, Кулунда, указать местонахождение электростанции,,,,,,,82.54512,
417,Дубровская ТЭЦ-8, Теплоэлектроцентраль ,92.0, 7.30 млн. кВт*ч, Кировск, Широта: 59.868611 Долгота: 30.978889,185.0, 229.60 тыс. Гкал, 0.40 %," Ленинградская обл., г. Кировск, ул. Набережная, 37",,,79.10574,2.010869565217391
418,Энеркомплекс-Коммунарка, Газопоршневая электростанция ,91.6,, Москва, указать местонахождение электростанции,,,,,,,78.76180199999999,
419,ТЭЦ Юргинского машиностроительного завода, Теплоэлектроцентраль ,91.0,, Юрга, Широта: 55.738600 Долгота: 84.909875,614.0,,,,,,78.24589499999999,6.747252747252747
420,ГТЭС «Внуково», Газотурбинная электростанция ,90.66,, Москва, Широта: 55.610002 Долгота: 37.262803,260.0,,," г. Москва, поселок Внуково, ЗАО, ул. Советская, д. 17, д.17",,,77.9535477,2.867857930730201
421,Береговая ВЭС, Ветряная электростанция ,90.0,, Береговой, указать местонахождение электростанции,,,,,,,77.38605,
422,ТЭЦ-1 Обуховоэнерго, Теплоэлектроцентраль ,90.0,, Санкт-Петербург, указать местонахождение электростанции,,,,,,,77.38605,
423,Центральные ЭС [Якутскэнерго], Дизельная электростанция ,88.4, 15.90 млн. кВт*ч, Якутск, указать местонахождение электростанции,15.8, 2.30 тыс. Гкал, 2 %,, 489.36 г/кВт•ч,,76.010298,0.17873303167420815
424,Тверская ТЭЦ-4, Теплоэлектроцентраль ,88.0, 426.37 млн. кВт*ч, Тверь, Широта: 56.842472 Долгота: 35.962556,620.0,,,,,,75.66636,7.045454545454546
425,Энергоцентр Ярактинского НГКМ, Газотурбинная электростанция ,96.0,, Киренск, Широта: 57.983918 Долгота: 106.794437,,,,,,,82.54512,
426,ГЭС-3 Каскада Кубанских ГЭС, Гидроэлектростанция ,87.0,, Ставрополь, Широта: 44.600556 Долгота: 42.231944,,,,,,,74.80651499999999,
427,ГЭС-1 им.Смидовича, Теплоэлектроцентраль ,86.0, 306 млн. кВт*ч, Москва, Широта: 55.747778 Долгота: 37.630833,951.0, 1 674 тыс. Гкал,," 115035, г. Москва, ул. Садовническая, д.11",,,73.94667,11.05813953488372
428,Мамаканская ГЭС, Гидроэлектростанция ,86.0, 356 млн. кВт*ч, Бодайбо, Широта: 57.809200 Долгота: 114.032164,,,,,,,73.94667,
429,Волховская ГЭС, Гидроэлектростанция ,86.0, 382.50 млн. кВт*ч, Волхов, Широта: 59.911667 Долгота: 32.343333,,,," Ленинградская обл., г. Подпорожье, ул. Энергетиков, 3",,,73.94667,
430,Уфимская ТЭЦ-3, Теплоэлектроцентраль ,85.0, 475.25 млн. кВт*ч, Уфа, Широта: 54.870833 Долгота: 56.091389,995.8, 2 858.34 тыс. Гкал,,,, 140.40 кг/Гкал,73.086825,11.715294117647058
431,Минусинская ТЭЦ, Теплоэлектроцентраль ,85.0, 509.58 млн. кВт*ч, Минусинск, Широта: 53.651583 Долгота: 91.777889,330.4,,,,,,73.086825,3.8870588235294115
432,Анадырская ТЭЦ, Теплоэлектроцентраль ,50.0, 123.90 млн. кВт*ч, Анадырь, Широта: 64.730472 Долгота: 177.499517,140.0, 241.80 тыс. Гкал, 21.49 %,, 471.40 г/кВт•ч,,42.99225,2.8
433,ГТЭС Восточно-Мессояхского месторождения, Газотурбинная электростанция ,84.0,, Новый Уренгой, Широта: 68.510571 Долгота: 79.748554,,,,,,,72.22698,
434,Сахалинская ГРЭС, Тепловая электростанция ,84.0, 353.80 млн. кВт*ч, Лермонтовка, Широта: 48.979090 Долгота: 142.964058,15.0, 38.65 тыс. Гкал, 21.91 %,, 606.36 г/кВт•ч,,72.22698,0.17857142857142858
435,Путкинская ГЭС, Гидроэлектростанция ,84.0, 396 млн. кВт*ч, Кондопога, Широта: 64.940743 Долгота: 34.540672,,,," Республика Карелия, Кемь, ул. Энергетиков, 15",,,72.22698,
436,Челябинская ТЭЦ-4 (Челябинская ГРЭС), Теплоэлектроцентраль ,742.0, 366.14 млн. кВт*ч, Челябинск, Широта: 55.201389 Долгота: 61.403056,850.0,,,,,,638.00499,1.1455525606469004
437,Майская ГРЭС, Тепловая электростанция ,80.85, 158.58 млн. кВт*ч, Майский, Широта: 49.005124 Долгота: 140.224686,15.4, 35.23 тыс. Гкал, 24.62 %,, 676.10 г/кВт•ч,,69.51846825,0.1904761904761905
438,Кемеровская ТЭЦ, Теплоэлектроцентраль ,80.0, 159.79 млн. кВт*ч, Кемерово, Широта: 55.400798 Долгота: 85.987920,749.0,,,,,,68.7876,9.3625
439,Кумская ГЭС, Гидроэлектростанция ,80.0, 346 млн. кВт*ч, Кандалакша, Широта: 66.360833 Долгота: 31.091389,,,," Мурманская обл., г. Кандалакша, ул. Чкалова, 42/18",,,68.7876,
440,Котовская ТЭЦ, Теплоэлектроцентраль ,80.0, 139.28 млн. кВт*ч, Котовск, Широта: 52.596759 Долгота: 41.528048,198.0,,,,,,68.7876,2.475
441,СЭС Охотниково, Солнечная электростанция ,80.0,, Охотниково, Широта: 45.286865 Долгота: 33.597747,,,,,,,68.7876,
442,Экспериментальная ТЭС, Тепловая электростанция ,79.2, 216.04 млн. кВт*ч, Красный Сулин, Широта: 47.871389 Долгота: 40.018611,122.5,,,,,,68.099724,1.5467171717171717
443,Западные ЭС [Якутскэнерго], Дизельная электростанция ,78.5, 6.37 млн. кВт*ч, Якутск, указать местонахождение электростанции,56.5, 21.20 тыс. Гкал, 1 %,, 620.59 г/кВт•ч,,67.4978325,0.7197452229299363
444,ГЭС-4 Каскада Кубанских ГЭС, Гидроэлектростанция ,78.0,, Ставрополь, Широта: 44.664722 Долгота: 42.028611,,,,,,,67.06791,
445,Уфимская ТЭЦ-1, Теплоэлектроцентраль ,77.74, 264.20 млн. кВт*ч, Уфа, Широта: 54.840000 Долгота: 56.091111,685.8, 687.11 тыс. Гкал,,,, 133.10 кг/Гкал,66.84435029999999,8.821713403653202
446,Энергоцентр Ярегского месторождения, Газотурбинная электростанция ,75.0,, Ярега, Широта: 63.358596 Долгота: 53.633795,91.0,,,,,,64.48837499999999,1.2133333333333334
447,Игумновская ТЭЦ, Теплоэлектроцентраль ,75.0, 112.98 млн. кВт*ч, Дзержинск, Широта: 56.251661 Долгота: 43.620039,426.0,,,,,,64.48837499999999,5.68
448,"Энергокомплекс ""Некрасовка""", Газопоршневая электростанция ,73.3,, Москва, указать местонахождение электростанции,,,,,,,63.0266385,
449,"Передвижная электростанция ""Лабытнанги""", Газотурбинная электростанция ,73.0, 142.58 млн. кВт*ч, Лабытнанги, Широта: 66.665220 Долгота: 66.418533,,, 31.05 %,,,,62.768685,
450,Чирюртская ГЭС-1, Гидроэлектростанция ,72.0, 386 млн. кВт*ч, Кизилюрт, Широта: 43.183056 Долгота: 46.834167,,,,,,,61.90884,
451,Саровская ТЭЦ-1, Теплоэлектроцентраль ,72.0,, Саров, Широта: 54.904800 Долгота: 43.337942,700.0,,,,,,61.90884,9.722222222222221
452,"Передвижная электростанция ""Казым""", Газотурбинная электростанция ,72.0, 140.06 млн. кВт*ч, Казым, Широта: 63.703011 Долгота: 67.238474,,, 28.02 %,,,,61.90884,
453,Мирнинская ГРЭС, Тепловая электростанция ,72.0,, Мирный (Республика Саха (Якутия)), Широта: 62.559898 Долгота: 113.976975,,,, Мирный,,,61.90884,
454,Волгоградская ГРЭС, Теплоэлектроцентраль ,72.0, 147.86 млн. кВт*ч, Волгоград, Широта: 48.567691 Долгота: 44.449847,247.0,,," 400057 Волгоградская обл., г. Волгоград, ул. Промысловая, 2",,,61.90884,3.4305555555555554
455,"Передвижная электростанция ""Уренгой""", Газотурбинная электростанция ,72.0, 106.92 млн. кВт*ч, Уренгой, Широта: 66.092202 Долгота: 76.734079,,, 26.70 %,,,,61.90884,
456,Камышинская ТЭЦ, Теплоэлектроцентраль ,72.0, 206.51 млн. кВт*ч, Камышин, Широта: 50.111456 Долгота: 45.400497,678.0,,," 403874, г. Камышин, 4, Волгоградской обл., ул. Ленина, 1",,,61.90884,9.416666666666666
457,СЭС Николаевка, Солнечная электростанция ,69.7,,, Широта: 44.969412 Долгота: 33.754849,,,,,,,59.9311965,
458,Закамская ТЭЦ-5, Теплоэлектроцентраль ,69.0, 323.72 млн. кВт*ч, Краснокамск, Широта: 58.077226 Долгота: 55.770639,501.5,,,,,,59.329305,7.268115942028985
459,Симферопольская ТЭЦ, Теплоэлектроцентраль ,68.0,, Симферополь, Широта: 45.012920 Долгота: 34.035430,490.1,,," 295493, г. Симферополь, ул. Монтажная, 1",,,58.46946,7.207352941176471
460,ГТЭС Москва, Газотурбинная электростанция ,67.5, 2.04 млн. кВт*ч, Москва, указать местонахождение электростанции,,,,,,,58.039537499999994,
461,Елецкая ТЭЦ, Теплоэлектроцентраль ,67.0, 107.79 млн. кВт*ч, Елец, Широта: 52.594694 Долгота: 38.514806,289.6,,,,,,57.609615,4.322388059701493
462,ГТУ-ТЭЦ мкр. Ольгино, Газотурбинная электростанция ,66.6,, Железнодорожный, Широта: 55.742791 Долгота: 37.980745,177.4,,,,,,57.265677,2.663663663663664
463,Кашхатау ГЭС Каскада Нижне-Черекских ГЭС, Гидроэлектростанция ,65.1,, Владикавказ, Широта: 43.330417 Долгота: 43.646333,,,,,,,55.97590949999999,
464,НЛМК электростанция на ВЭР, Теплоэлектроцентраль ,65.0,, Липецк, указать местонахождение электростанции,,,,,,,55.889925,
465,Красавинская ГТ ТЭЦ, Газотурбинная электростанция ,63.8,, Красавино, Широта: 60.957507 Долгота: 46.484764,57.0,,," Россия, г. Вологда, улица Горького 99",,,54.858110999999994,0.8934169278996865
466,Маткожненская ГЭС, Гидроэлектростанция ,63.0,,, Широта: 64.415341 Долгота: 34.469020,,,,,,,54.170235,
467,Самарская ГРЭС, Теплоэлектроцентраль ,61.0, 190.70 млн. кВт*ч, Самара, Широта: 53.145000 Долгота: 50.056389,1827.0,,,,,,52.450545,29.950819672131146
468,Рубцовская ТЭЦ, Теплоэлектроцентраль ,61.0,, Рубцовск, Широта: 51.542519 Долгота: 81.208577,245.0,,,,,,52.450545,4.016393442622951
469,ДЭС ЮЭС, Дизельная электростанция ,60.06, 121.46 млн. кВт*ч, Петропавловск-Камчатский, указать местонахождение электростанции,71.8,,,, 376.09 г/кВт•ч,,51.6422907,1.1954711954711954
470,ВЭС Мирный, Ветряная электростанция ,60.0,, Мирный, указать местонахождение электростанции,,,,,,,51.5907,
471,Сорочинская СЭС (Оренбургская СЭС-3), Солнечная электростанция ,60.0,, Оренбург, Широта: 52.465109 Долгота: 53.219662,,,,,,,51.5907,
472,Нива ГЭС-2, Гидроэлектростанция ,60.0, 410 млн. кВт*ч, Кандалакша, Широта: 67.281611 Долгота: 32.459806,,,," Мурманская обл., г. Кандалакша, ул. Чкалова, 42/18",,,51.5907,
473,Геленджикская ВЭС-1, Ветряная электростанция ,60.0,, Геленджик, указать местонахождение электростанции,,,,,,,51.5907,
474,Аушигерская ГЭС Каскада Нижне-Черекских ГЭС, Гидроэлектростанция ,60.0,, Владикавказ, Широта: 43.352500 Долгота: 43.717500,,,,,,,51.5907,
475,Геленджикская ВЭС-2, Ветряная электростанция ,60.0,, Геленджик, указать местонахождение электростанции,,,,,,,51.5907,
476,ГТУ ТЭЦ ЛУЧ, Теплоэлектроцентраль ,60.0, 180.66 млн. кВт*ч, Белгород, Широта: 50.560923 Долгота: 36.580634,62.4,,,,,,51.5907,1.04
477,Белгородская ТЭЦ, Теплоэлектроцентраль ,60.0, 257.87 млн. кВт*ч, Белгород, Широта: 50.600000 Долгота: 36.618611,360.4,,,,,,51.5907,6.006666666666666
478,Борисоглебская ГЭС, Гидроэлектростанция ,56.0, 275 млн. кВт*ч, Мурманск, Широта: 69.643333 Долгота: 30.137500,,,," Мурманская обл., Печенгский р-н, п. Раякоски",,,48.15132,
479,Энергокмплекс №1 Московский, Газопоршневая электростанция ,55.0,, Москва, указать местонахождение электростанции,,,,,,,47.291475,
480,Энергокомплекс- г. Троицк, Газопоршневая электростанция ,55.0,, Москва, указать местонахождение электростанции,,,,,,,47.291475,
481,Саратовская ГРЭС, Теплоэлектроцентраль ,54.0, 239.53 млн. кВт*ч, Саратов, Широта: 51.522278 Долгота: 46.033944,478.0,,,,,,46.43163,8.851851851851851
482,Нижнетуломская ГЭС, Гидроэлектростанция ,52.7, 250 млн. кВт*ч, Кола, Широта: 68.821667 Долгота: 32.819167,,,," Мурманская обл., п. Мурмаши, ул. Советская, 1",,,45.3138315,
483,Тутаевская ПГУ, Теплоэлектроцентраль ,52.0,, Тутаев, Широта: 57.846144 Долгота: 39.540052,,,,,,,44.71194,
484,Анапская ВЭС-2, Ветряная электростанция ,51.0,, Анапа, указать местонахождение электростанции,,,,,,,43.852095,
485,Мутновская ГеоЭС, Геотермальная электростанция ,50.0,, Петропавловск-Камчатский, Широта: 52.535278 Долгота: 158.201111,,,,,,,42.99225,
486,Качканарская ТЭЦ, Теплоэлектроцентраль ,50.0, 170.22 млн. кВт*ч, Качканар, Широта: 58.706575 Долгота: 59.511888,352.0,,,,,,42.99225,7.04
487,Тургоякская ТЭЦ, Теплоэлектроцентраль ,50.0,, Миасс, Широта: 55.116410 Долгота: 60.142787,460.0,,,,,,42.99225,9.2
488,Энергокмплекс №3 Московский, Газопоршневая электростанция ,48.7,, Москва, указать местонахождение электростанции,,,,,,,41.8744515,
489,Ногликская ГТЭС, Газотурбинная электростанция ,48.0,, пгт Ноглики, Широта: 51.773795 Долгота: 143.113060,,,," Сахалинская обл., Ногликский р-н, пгт Ноглики",,,41.27256,
490,Чульманская ТЭЦ, Теплоэлектроцентраль ,48.0, 99.01 млн. кВт*ч, Чульман, Широта: 56.850357 Долгота: 124.909551,165.0, 344.24 тыс. Гкал, 23.50 %,, 687.30 г/кВт•ч,,41.27256,3.4375
491,Белореченская ГЭС, Гидроэлектростанция ,48.0, 193.50 млн. кВт*ч, Белореченск, Широта: 44.892212 Долгота: 39.647877,0.0,,,,,,41.27256,0.0
492,Талаканская ГТЭС, Газотурбинная электростанция ,48.0,, Витим, Широта: 59.793078 Долгота: 110.872602,,,,,,,41.27256,
493,Билибинская АЭС, Атомная электростанция ,48.0,, Билибино, Широта: 68.050278 Долгота: 166.538889,0.0,,,,,,41.27256,0.0
494,Подужемская ГЭС, Гидроэлектростанция ,48.0, 217 млн. кВт*ч, Кондопога, Широта: 64.911667 Долгота: 34.261667,,,," Республика Карелия, Кемь, ул. Энергетиков, 15",,,41.27256,
495,Заполярная ГТЭС, Газотурбинная электростанция ,48.0,, Ямбург, указать местонахождение электростанции,,,,,,,41.27256,
496,Анапская ВЭС-1, Ветряная электростанция ,48.0,, Анапа, указать местонахождение электростанции,,,,,,,41.27256,
497,Хеваскоски ГЭС, Гидроэлектростанция ,47.0, 213 млн. кВт*ч, Мурманск, Широта: 69.117500 Долгота: 29.241944,,,," Мурманская обл., Печенгский р-н, п. Раякоски",,,40.412715,
498,Новосергиевская СЭС (Оренбургская СЭС-1), Солнечная электростанция ,45.0,, Оренбург, Широта: 52.078578 Долгота: 53.613383,,,,,,,38.693025,
499,ГТЭС Краснодарский край, Газотурбинная электростанция ,45.0, 51.84 млн. кВт*ч, Краснодар, указать местонахождение электростанции,,,,,,,38.693025,
500,Эзминская ГЭС, Гидроэлектростанция ,45.0,, Владикавказ, Широта: 42.766200 Долгота: 44.632600,,,,,,,38.693025,
501,Юмагузинская ГЭС, Гидроэлектростанция ,45.0, 129.83 млн. кВт*ч, Юмагузино, Широта: 52.956389 Долгота: 56.414722,0.0,,,,,,38.693025,0.0
502,ГТЭС Владивостокской ТЭЦ-1, Тепловая электростанция ,45.0, 14.22 млн. кВт*ч, Владивосток, Широта: 43.125833 Долгота: 131.878056,,, 1.37 %,, 378.50 г/кВт•ч,,38.693025,
503,ГТУ-ТЭЦ, Теплоэлектроцентраль ,44.0,, Знаменск, Широта: 48.600034 Долгота: 45.724679,26.0,,,,,,37.83318,0.5909090909090909
504,Гельбахская ГЭС, Гидроэлектростанция ,44.0,, Махачкала, Широта: 43.154103 Долгота: 46.852119,,,,,,,37.83318,
505,Раякоски ГЭС, Гидроэлектростанция ,43.2, 220 млн. кВт*ч, Мурманск, Широта: 69.022778 Долгота: 29.005556,,,," Мурманская обл., Печенгский р-н, п. Раякоски",,,37.145304,
506,Ливенская ТЭЦ, Теплоэлектроцентраль ,42.0, 7.40 млн. кВт*ч, Ливны, Широта: 52.409907 Долгота: 37.543030,273.6,,,,,,36.11349,6.514285714285715
507,Калужская ТЭЦ-1, Теплоэлектроцентраль ,41.8, 10.53 млн. кВт*ч, Калуга, Широта: 54.548023 Долгота: 36.261234,110.1,,,,,,35.941520999999995,2.633971291866029
508,Выгостровская ГЭС, Гидроэлектростанция ,40.0,,, Широта: 64.489158 Долгота: 34.661986,,,,,,,34.3938,
509,"Газотурбинная электростанция АО ""Салехардэнерго""", Газотурбинная электростанция ,39.4,, Салехард, Широта: 66.537775 Долгота: 66.671047,,,,,,,33.877893,
510,"ВЭС ""Октябрьский""", Ветряная электростанция ,39.0,, Октябрьский, указать местонахождение электростанции,,,,,,,33.533955,
511,Энергокомплекс №2 Московский, Газопоршневая электростанция ,38.9,, Москва, указать местонахождение электростанции,,,,,,,33.4479705,
512,Нарьян-Марская электростанция, Газотурбинная электростанция ,38.15,, Нарьян-Мар, Широта: 67.641342 Долгота: 53.037883,,,," Россия, 166000 Ненецкий автономный округ г.Нарьян-Мар ул. 60лет Октября д.37",,,32.80308675,
513,Брянская ГРЭС, Теплоэлектроцентраль ,38.0, 1.32 млн. кВт*ч, Брянск, Широта: 53.216389 Долгота: 34.659167,70.0,,,,,,32.67411,1.8421052631578947
514,ГЭС-1 Каскада Кубанских ГЭС, Гидроэлектростанция ,37.0,, Усть-Джегута, Широта: 44.276389 Долгота: 42.472222,,,,,,,31.814265,
515,ГТ ТЭЦ Мичуринская, Газотурбинная электростанция ,36.0,, Белгород, Широта: 50.611637 Долгота: 36.564858,80.0,,," г. Белгород, ул. Мичурина, д.79",,,30.95442,2.2222222222222223
516,ГТ ТЭЦ Лужская, Газотурбинная электростанция ,36.0,, Великий Новгород, Широта: 58.577511 Долгота: 31.278935,80.0,,," г. В.Новгород, Лужское шоссе, 4",,,30.95442,2.2222222222222223
517,"ГТЭС ""Федоровское месторождение""", Газотурбинная электростанция ,36.0,, Сургут, указать местонахождение электростанции,,,,,,,30.95442,
518,ТЭЦ в г. Лобня, Газопоршневая электростанция ,36.0,, Лобня, Широта: 56.025895 Долгота: 37.440816,60.0,,,,,,30.95442,1.6666666666666667
519,Первоуральская ТЭЦ, Теплоэлектроцентраль ,36.0, 215.83 млн. кВт*ч, Первоуральск, Широта: 56.894850 Долгота: 59.983930,967.0,,,,,,30.95442,26.86111111111111
520,ТЭЦ-1 Соломбальского ЦБК, Теплоэлектроцентраль ,36.0,, Архангельск, Широта: 64.593139 Долгота: 40.562317,,,,,,,30.95442,
521,ГТ ТЭЦ Барнаульская, Газотурбинная электростанция ,36.0,, Барнаул, Широта: 53.377050 Долгота: 83.771331,80.0,,," г. Барнаул, ул. Ткацкая, 77 «Г»",,,30.95442,2.2222222222222223
522,МГЭС Мульта-1, Малая гидроэлектростанция ,36.0,, Усть-Кокса, указать местонахождение электростанции,,,,,,,30.95442,
523,Свердловская ТЭЦ, Теплоэлектроцентраль ,36.0, 223.90 млн. кВт*ч, Екатеринбург, Широта: 56.875951 Долгота: 60.594020,1430.0,,,,,,30.95442,39.72222222222222
524,Ульяновская (Симбирская) ВЭС, Ветряная электростанция ,35.0,, Ульяновск, Широта: 54.274246 Долгота: 48.585148,,,,,,,30.094575,
525,Чаунская ТЭЦ, Теплоэлектроцентраль ,34.5, 60.76 млн. кВт*ч, Певек, Широта: 69.704444 Долгота: 170.290278,99.0, 150.03 тыс. Гкал, 21.48 %,, 614.03 г/кВт•ч,,29.6646525,2.869565217391304
526,Каменская ТЭЦ, Теплоэлектроцентраль ,34.0, 0 млн. кВт*ч, Каменск-Шахтинский, Широта: 48.321389 Долгота: 40.239444,346.0,,,,,,29.23473,10.176470588235293
527,Эгвекинотская ГРЭС, Теплоэлектроцентраль ,34.0, 70.54 млн. кВт*ч, Эгвекинот, Широта: 66.401256 Долгота: -179.133804,92.0, 100.80 тыс. Гкал, 30.31 %,, 610.65 г/кВт•ч,,29.23473,2.7058823529411766
528,Пермская ТЭЦ-13, Теплоэлектроцентраль ,34.0, 85.33 млн. кВт*ч, Пермь, Широта: 58.125556 Долгота: 56.283056,341.6,,,,,,29.23473,10.047058823529412
529,"Дизельная электростанция №1 АО ""Салехардэнерго""", Дизельная электростанция ,33.4,, Салехард, Широта: 66.556716 Долгота: 66.575689,,,,,,,28.718822999999997,
530,"Мини-ТЭЦ ""Центральная"" (о.Русский)", Теплоэлектроцентраль ,33.0,, Владивосток, Широта: 43.036721 Долгота: 131.883375,123.3,,,,,,28.374885,3.7363636363636363
531,Костромская ТЭЦ-1, Теплоэлектроцентраль ,33.0, 95.36 млн. кВт*ч, Кострома, Широта: 57.783611 Долгота: 40.905556,450.0,,,,,,28.374885,13.636363636363637
532,Севастопольская ТЭЦ, Теплоэлектроцентраль ,33.0,, Севастополь, Широта: 44.610375 Долгота: 33.582732,,,,,,,28.374885,
533,СЭС Митяево, Солнечная электростанция ,31.55,,, Широта: 45.236591 Долгота: 33.675061,,,,,,,27.12810975,
534,Зарагижская ГЭС Каскада Нижне-Черекских ГЭС, Гидроэлектростанция ,30.6, 118 млн. кВт*ч, Аушигер, Широта: 43.322608 Долгота: 43.690694,,,,,,,26.311257,
535,Янискоски ГЭС, Гидроэлектростанция ,30.5, 210 млн. кВт*ч, Мурманск, Широта: 68.971667 Долгота: 28.780278,,,," Мурманская обл., Печенгский р-н, п. Раякоски",,,26.2252725,
536,Геленджикская ВЭС-Южная-1, Ветряная электростанция ,30.0,, Геленджик, указать местонахождение электростанции,,,,,,,25.79535,
537,Егорлыкская ГЭС Каскада Кубанских ГЭС, Гидроэлектростанция ,30.0,, Ставрополь, Широта: 45.068333 Долгота: 41.596667,,,,,,,25.79535,
538,Палокоргская ГЭС, Гидроэлектростанция ,30.0,,, Широта: 64.221752 Долгота: 34.336344,,,,,,,25.79535,
539,ТЭЦ Мякинино, Газопоршневая электростанция ,30.0,, Красногорск, Широта: 55.812450 Долгота: 37.385752,56.0,,,,,,25.79535,1.8666666666666667
540,Камыш-Бурунская ТЭЦ, Теплоэлектроцентраль ,30.0,, Керчь, Широта: 45.276336 Долгота: 36.412361,103.0,,," 298313 г. Керчь, Тиритакский спуск, 1",,,25.79535,3.433333333333333
541,"ТЭЦ ОАО ""Куйбышевский НПЗ""", Теплоэлектроцентраль ,30.0,, Самара, указать местонахождение электростанции,,,,,,,25.79535,
542,Геленджикская ВЭС-Южная-2, Ветряная электростанция ,30.0,, Геленджик, указать местонахождение электростанции,,,,,,,25.79535,
543,"Энергокомплекс ""Спартак""", Газопоршневая электростанция ,29.2,, Москва, указать местонахождение электростанции,,,,,,,25.107474,
544,Энергокомплекс - Воскресенское, Газопоршневая электростанция ,29.2,, Москва, указать местонахождение электростанции,,,,,,,25.107474,
545,Энергокомплекс - Кокошкино, Газопоршневая электростанция ,29.2,, Москва, указать местонахождение электростанции,,,,,,,25.107474,
546,Березниковская ТЭЦ-4, Теплоэлектроцентраль ,29.2, 68.96 млн. кВт*ч, Березники, Широта: 59.406944 Долгота: 56.735833,276.4,,,,,,25.107474,9.465753424657533
547,Губкинская ТЭЦ, Теплоэлектроцентраль ,29.0, 80.26 млн. кВт*ч, Губкин, Широта: 51.280869 Долгота: 37.578425,148.0,,,,,,24.935505,5.103448275862069
548,Краснополянская ГЭС, Гидроэлектростанция ,28.9, 166.30 млн. кВт*ч, Адлер, Широта: 43.662861 Долгота: 40.174389,0.0,,,,,,24.849520499999997,0.0
549,Широковская ГЭС, Гидроэлектростанция ,28.0,, Широковский, Широта: 58.834541 Долгота: 57.792546,,,,,,,24.07566,
550,Березниковская ТЭЦ-10, Теплоэлектроцентраль ,27.0, 121.31 млн. кВт*ч, Березники, Широта: 59.387222 Долгота: 56.775278,368.0,,,,,,23.215815,13.62962962962963
551,Беломорская ГЭС, Гидроэлектростанция ,27.0,,, Широта: 64.512647 Долгота: 34.690114,,,,,,,23.215815,
552,Баксанская ГЭС, Гидроэлектростанция ,27.0,, Баксан, Широта: 43.655108 Долгота: 43.396908,,,,,,,23.215815,
553,Нижнетериберская ГЭС, Гидроэлектростанция ,26.5, 54 млн. кВт*ч, Мурманск, Широта: 69.125278 Долгота: 35.146944,,,," Мурманская обл., г. Кола, ул. Андрусенко, д. 10",,,22.7858925,
